date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2024-12-12,00921,0,0,0,0,0,40567500,1489000,0,0,0,1489000,385064,X
2024-12-12,00922,25000,1000,20000,0,6000,229171500,11568000,44000,0,0,11612000,3223167,
2024-12-12,00923,25000,0,0,0,25000,217230750,7202000,0,0,0,7202000,1064518,
2024-12-12,00924,3000,0,1000,0,2000,41525750,5309000,0,0,0,5309000,806219,
2024-12-12,00925,0,0,0,0,0,1437750,10000,0,0,0,10000,103846,
2024-12-12,00926,0,0,0,0,0,16370500,3772000,248000,10000,0,4010000,586187,X
2024-12-12,00927,3000,0,0,0,3000,200974250,11030000,0,0,0,11030000,1566205,
2024-12-12,00929,3000,0,3000,0,0,3450909750,54077000,0,70000,0,54007000,41008329,X
2024-12-12,00930,2000,1000,1000,0,2000,116069750,5233000,0,0,0,5233000,2974389,
2024-12-12,00932,0,2000,0,0,2000,113570750,6321000,0,0,0,6321000,2478139,
2024-12-12,00934,0,0,0,0,0,340131500,12355000,0,589000,0,11766000,4194057,X
2024-12-12,00935,6000,2000,0,0,8000,100751000,6604000,0,0,0,6604000,1194440,
2024-12-12,00936,0,0,0,0,0,287949250,8776000,0,0,0,8776000,2651000,X
2024-12-12,00938,0,0,0,0,0,62379000,1919000,344000,0,0,2263000,1074967,
2024-12-12,00939,0,0,0,0,0,771119000,5192000,0,0,0,5192000,2716277,
2024-12-12,00940,0,4000,0,0,4000,4190216250,86766000,0,3695000,0,83071000,13875009,
2024-12-12,00941,37000,0,1000,0,36000,323572750,16791000,0,0,0,16791000,1463979,
2024-12-12,00943,0,0,0,0,0,46097250,3697000,0,0,0,3697000,4332220,X
2024-12-12,00944,0,0,0,0,0,45270250,3154000,0,0,0,3154000,479328,X
2024-12-12,00945B,0,0,0,0,0,176829500,12976000,1522000,0,0,14498000,3447027,X
2024-12-12,00946,0,0,0,0,0,363561500,27925000,0,0,0,27925000,3129677,
2024-12-12,00947,83000,0,4000,0,79000,56341000,3060000,0,0,0,3060000,716462,
2024-12-12,00949,3000,0,0,0,3000,92357000,8662000,0,0,0,8662000,1072236,
2024-12-12,00951,0,0,0,0,0,94885500,10678000,0,0,0,10678000,1230293,
2024-12-12,00952,51000,0,0,0,51000,95568750,5094000,0,0,0,5094000,1633857,
2024-12-12,00953B,0,0,0,0,0,356168750,29549000,0,4526000,0,25023000,9938268,
