畫法,版本,r,抽出,保留,剔除_硬斷點,剔除_T+1停牌,平均X,中位X,lo,hi,n_eff,判過,判過_正,判過_負
丙,不排除（描述）,18,7141,7140,1,0,-0.0019997625279016278,-0.0032659776600023754,-0.0036835868420432103,-0.00031593821376004545,133,True,False,True
丙,不排除（描述）,19,7141,7139,2,0,-0.0020093834745631488,-0.004269826539186686,-0.003998686894986034,-2.0080054140263898e-05,133,True,False,True
丙,不排除（描述）,20,7141,7139,2,0,-0.0018539829933821926,-0.002080997884718168,-0.0039505046318692345,0.0002425386451048498,133,False,False,False
丙,不排除（描述）,21,7141,7140,1,0,-0.0028856637040449414,-0.003880918827749916,-0.004689132820531747,-0.0010821945875581357,133,True,False,True
丙,不排除（描述）,22,7141,7141,0,0,-0.0010778063149610119,-0.0023524663075984234,-0.0029229553971047203,0.0007673427671826968,133,False,False,False
丙,不排除（描述）,23,7141,7140,1,0,-0.0012795626043761226,-0.0029564230142103748,-0.0029498339600347685,0.000390708751282523,133,False,False,False
丙,不排除（描述）,24,7141,7139,2,0,-0.0020614393131995214,-0.002779918340619183,-0.004081739055495659,-4.113957090338396e-05,133,True,False,True
丙,不排除（描述）,25,7141,7141,0,0,-0.002469396777415261,-0.0032249755727006245,-0.004165700639757113,-0.0007730929150734089,133,True,False,True
丙,不排除（描述）,26,7141,7140,1,0,-0.0018616819527193594,-0.002673242518533585,-0.003750828377100946,2.7464471662227118e-05,133,False,False,False
丙,不排除（描述）,27,7141,7139,2,0,-0.0036508833242985257,-0.004144916570259911,-0.005303083904341099,-0.0019986827442559528,133,True,False,True
丙,不排除（描述）,28,7141,7141,0,0,-0.003105945742189833,-0.0037993855129533245,-0.004935332208645885,-0.0012765592757337815,133,True,False,True
丙,不排除（描述）,29,7141,7140,1,0,-0.0025088801625959066,-0.0013864537155021284,-0.004195568351927078,-0.0008221919732647348,133,True,False,True
