族,格,年化,回落,錨年化,錨回落,錨出處,格捨入,錨捨入,註,新判準標籤,捨入內不定,比值,錨比值,年化差pp,回落差pp（負＝比0050深）,年化波動
PREREG11／研究十三b,S｜regime=True｜N40｜LD,0.1788766500015307,-0.2323759004480142,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.7697728105912082,0.7294117647058823,-6.912334999846931,10.762409955198581,未存
PREREG9／研究十一（事後補）,N5｜H20,0.11,-0.5820000000000001,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.1890034364261168,0.7323529411764705,-13.900000000000002,-24.200000000000006,未存
PREREG9／研究十一（事後補）,N5｜H60,0.214,-0.489,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.4376278118609407,0.7323529411764705,-3.5000000000000004,-14.899999999999997,未存
PREREG9／研究十一（事後補）,N5｜H120,0.14,-0.529,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.26465028355387527,0.7323529411764705,-10.899999999999999,-18.9,未存
PREREG9／研究十一（事後補）,N5｜LD,0.168,-0.441,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.380952380952381,0.7323529411764705,-8.1,-10.099999999999998,未存
PREREG9／研究十一（事後補）,N10｜H20,0.14300000000000002,-0.462,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.30952380952380953,0.7323529411764705,-10.599999999999998,-12.2,未存
PREREG9／研究十一（事後補）,N10｜H60,0.251,-0.423,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,另列,False,0.5933806146572104,0.7323529411764705,0.20000000000000018,-8.299999999999997,未存
PREREG9／研究十一（事後補）,N10｜H120,0.154,-0.45799999999999996,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.33624454148471616,0.7323529411764705,-9.5,-11.799999999999994,未存
PREREG9／研究十一（事後補）,N10｜LD,0.162,-0.36700000000000005,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.44141689373297,0.7323529411764705,-8.7,-2.7000000000000024,未存
PREREG9／研究十一（事後補）,N20｜H20,0.159,-0.385,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.41298701298701296,0.7323529411764705,-9.0,-4.499999999999998,未存
PREREG9／研究十一（事後補）,N20｜H60,0.226,-0.4,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.565,0.7323529411764705,-2.2999999999999994,-6.0,未存
PREREG9／研究十一（事後補）,N20｜H120,0.168,-0.405,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.4148148148148148,0.7323529411764705,-8.1,-6.5,未存
