open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1650585600000,404.660,413.870,403.160,406.450,759932.92,1650671999999,310627520.04000,548932,370499.39,151476480.92040,0
1650672000000,406.450,408.060,396.000,400.840,510375.51,1650758399999,206059404.52688,433041,223545.81,90303923.93988,0
1650758400000,400.840,405.120,396.960,398.630,448935.69,1650844799999,180292041.75050,394461,219020.81,87964499.11250,0
1650844800000,398.620,405.830,381.790,404.110,1100960.85,1650931199999,432754128.12008,743589,525220.63,206572134.08847,0
1650931200000,404.120,407.510,380.450,385.670,958912.49,1651017599999,377224048.89940,633666,459074.89,180616075.42078,0
1651017600000,385.650,394.720,383.100,391.210,801963.01,1651103999999,312515384.33690,547223,398839.78,155434745.33751,0
1651104000000,391.220,408.430,388.170,406.800,1282360.05,1651190399999,514363448.48345,749606,635724.72,255002378.41205,0
1651190400000,406.800,410.450,389.460,392.690,916921.92,1651276799999,366058363.43524,633393,443651.17,177122986.41895,0
1651276800000,392.690,399.850,375.730,376.520,780989.76,1651363199999,304619811.13095,552994,365067.78,142649953.82500,0
1651363200000,376.520,391.280,374.900,389.600,750979.93,1651449599999,288542892.86709,613807,378644.05,145495711.24139,0
1651449600000,389.550,392.350,381.910,389.320,706575.94,1651535999999,274076890.43660,519593,343265.91,133139002.27790,0
1651536000000,389.320,392.170,379.500,383.520,564647.53,1651622399999,218105901.63216,441774,274836.35,106201204.70030,0
1651622400000,383.520,402.930,382.400,402.290,840117.47,1651708799999,329754884.73836,591643,436667.01,171334721.25636,0
1651708800000,402.300,414.000,370.000,378.060,1978236.02,1651795199999,777688754.61103,1088869,943288.86,371749576.74648,0
1651795200000,378.060,383.200,370.320,378.890,1003890.61,1651881599999,379109821.88035,673584,502965.02,189960155.08832,0
1651881600000,378.890,380.510,359.750,365.300,784221.28,1651967999999,292524347.02930,574592,367597.69,137188063.56050,0
1651968000000,365.300,366.920,349.010,355.730,1075905.35,1652054399999,384605212.50591,677482,500427.46,178854373.38050,0
1652054400000,355.750,359.190,294.680,295.500,2629604.41,1652140799999,849361599.47464,1331213,1245784.13,402081563.51469,0
1652140800000,295.470,332.560,288.370,318.900,2881545.74,1652227199999,911740725.38296,1440143,1438808.39,455229510.55252,0
1652227200000,318.900,322.810,260.040,271.260,3559749.91,1652313599999,1043136782.25835,1768558,1754504.34,514330011.56962,0
1652313600000,271.260,285.050,216.390,268.540,5510005.36,1652399999999,1414274954.69360,2096151,2730623.81,701582604.35986,0
1652400000000,268.540,313.250,265.030,290.450,2530481.62,1652486399999,756372406.97567,1179382,1269126.39,379432110.13621,0
1652486400000,290.430,299.270,271.680,296.660,1586861.01,1652572799999,453619611.43475,799016,800369.33,228904773.99933,0
1652572800000,296.650,312.670,285.260,312.050,1278913.47,1652659199999,381838114.74030,653638,632740.92,189015463.18685,0
1652659200000,312.060,312.200,290.000,297.000,1530734.98,1652745599999,456061242.40503,769918,746027.34,222281776.28432,0
1652745600000,297.030,310.530,295.780,305.910,1229899.76,1652831999999,373466372.26993,681343,612558.82,186085341.62874,0
1652832000000,305.910,308.440,286.260,287.360,1385025.13,1652918399999,410592299.57163,700667,684449.03,203015657.63977,0
1652918400000,287.420,308.930,286.320,306.700,1485233.57,1653004799999,445012009.90570,770084,765855.80,229526000.08133,0
1653004800000,306.750,316.400,293.710,301.950,1975481.57,1653091199999,603765001.46243,884775,977700.92,299011959.85617,0
1653091200000,301.950,313.980,298.990,312.130,961901.74,1653177599999,295968787.82941,533426,493055.49,151728742.80214,0
1653177600000,312.140,323.600,311.180,319.100,1297813.20,1653263999999,411958710.56029,628428,665225.56,211157574.95309,0
1653264000000,319.060,336.900,315.000,316.920,2154002.89,1653350399999,705119963.54465,1017380,1087263.94,356049089.30432,0
1653350400000,316.920,330.450,311.510,328.140,2287314.91,1653436799999,736875311.73118,1032683,1134481.77,365567912.64263,0
1653436800000,328.130,337.880,323.600,325.370,1913889.89,1653523199999,630738980.18237,936683,951294.78,313659618.13235,0
1653523200000,325.370,331.830,295.000,302.650,3015380.05,1653609599999,944691302.35440,1296413,1481293.54,464208745.15321,0
1653609600000,302.580,309.750,290.200,301.360,2732795.38,1653695999999,820766357.68208,1301039,1355402.66,407249060.39242,0
1653696000000,301.370,310.670,296.620,307.260,1306482.06,1653782399999,396564672.31940,668540,655053.15,198938530.77306,0
1653782400000,307.270,307.950,298.180,305.670,1279213.55,1653868799999,387476542.62615,596798,615828.84,186621657.83439,0
