stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1537,廣隆,2018Q1,twse,4090119,1226754,5316873,1190201,337893,1528094,817854,665000,2393102,-87177,,3788779,,,0,3788779,0,0,0,46.33
1538,正峰,2018Q1,twse,407305,904735,1312040,503540,414177,917717,831358,,-412849,-24186,,394323,,,,394323,0,0,0,4.74
1539,巨庭,2018Q1,twse,2285879,790465,3076344,1733219,226846,1960065,653700,0,465817,-3238,,1116279,,,0,1116279,0,0,0,17.08
1540,喬福,2018Q1,twse,1390040,402406,1792446,399230,17133,416363,854736,241435,279912,0,0,1376083,,,0,1376083,0,0,0,16.10
1541,錩泰,2018Q1,twse,1716833,831342,2548175,1324729,82137,1406866,788000,1364,364301,-12356,0,1141309,,,0,1141309,,0,0,14.48
1558,伸興,2018Q1,twse,4867572,1740586,6608158,1875590,372044,2247634,605526,1387345,2518528,-189272,-2163,4319964,,,40560,4360524,,0,17000,71.36
1560,中砂,2018Q1,twse,2461280,3124150,5585430,1161639,201865,1363504,1410000,1241869,1570057,0,,4221926,,,,4221926,0,0,0,29.94
1568,倉佑,2018Q1,twse,1958012,1806728,3764740,1192295,908626,2100921,1030865,145471,505778,-18295,,1663819,,,,1663819,0,0,0,16.14
1582,信錦,2018Q1,twse,7196560,1245646,8442206,2173433,186357,2359790,1649656,2591280,2192380,-350900,,6082416,,,0,6082416,,0,0,36.87
1583,程泰,2018Q1,twse,10137810,4806664,14944474,7814892,1321939,9136831,1104004,488809,2615734,111365,0,4319912,,,1487731,5807643,0,0,0,39.13
1587,吉茂,2018Q1,twse,1172878,1181800,2354678,969931,295081,1265012,601489,351084,174972,-37879,,1089666,,,0,1089666,0,107000,0,18.12
1589,永冠-KY,2018Q1,twse,7689285,7271418,14960703,5543232,113318,5656550,1116175,5837900,2715635,-659846,0,9009864,,,294289,9304153,,0,0,80.72
