stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
6229,研通,2016Q1,tpex,574703,119188,693891,213371,19913,233284,360877,10659,74815,14256,,460607,,,,460607,,0,0,12.76
6231,系微,2016Q1,tpex,625789,258036,883825,172107,34508,206615,380435,67493,223342,5740,0,677010,,,200,677210,0,0,0,17.80
6233,旺玖,2016Q1,tpex,691154,370725,1061879,89610,5991,95601,845749,356979,-274031,64866,-27285,966278,,,0,966278,,0,2206000,11.73
6234,高僑,2016Q1,tpex,1775457,1093653,2869110,507061,16344,523405,714342,1313572,316838,953,,2345705,,,,2345705,0,0,0,32.84
6236,中湛,2016Q1,tpex,162960,160813,323773,65211,37985,103196,316540,0,-92507,-3456,,220577,,,,220577,0,0,0,6.97
6237,驊訊,2016Q1,tpex,838626,831256,1669882,55878,29785,85663,780384,427504,159412,216919,,1584219,,,,1584219,0,228000,0,20.33
6240,松崗,2016Q1,tpex,731356,47376,778732,505318,381,505699,230984,0,42049,0,,273033,,,,273033,0,0,0,11.82
6241,鑫永洋,2016Q1,tpex,287745,10174,297919,48389,1705,50094,237173,0,10519,133,,247825,,,0,247825,0,0,0,10.45
6242,立康,2016Q1,tpex,138012,379623,517635,106545,120750,227295,200000,53632,36708,0,,,,,,290340,,0,0,14.52
6244,茂迪,2016Q1,tpex,21416094,13235227,34651321,14401053,4939127,19340180,4884589,10100673,176973,-83172,0,15079063,0,,232078,15311141,,0,0,30.87
6245,立端,2016Q1,tpex,3034332,1235150,4269482,1686864,170959,1857823,975008,475273,857096,16744,0,2324121,,,87538,2411659,0,0,0,23.84
6246,臺龍,2016Q1,tpex,586376,289076,875452,651140,92472,743612,1359376,47061,-1252503,-22094,,131840,,,,131840,0,0,0,0.97
6248,沛波,2016Q1,tpex,605469,16892,622361,268925,1274,270199,306752,,46008,-598,,,,,,352162,,0,0,11.48
6259,百徽,2016Q1,tpex,438757,113243,552000,324385,42173,366558,729364,50742,-591404,2732,,191434,,,-5992,185442,,0,0,2.62
6261,久元,2016Q1,tpex,3605838,4321586,7927424,1655132,233260,1888392,1284980,2383450,2198129,44553,0,5911112,,,127920,6039032,0,0,0,46.00
6263,普萊德,2016Q1,tpex,1429499,31646,1461145,221097,6064,227161,625010,11022,597952,0,,1233984,,,,1233984,,0,0,19.74
6264,富裔,2016Q1,tpex,2046502,494399,2540901,1046744,754034,1800778,863553,23352,-146782,,,,,,,740123,,0,0,8.57
6265,方土昶,2016Q1,tpex,1888366,342818,2231184,616315,1045,617360,1181722,313679,133390,-14967,0,1613824,,,,1613824,0,0,0,13.66
6266,泰詠,2016Q1,tpex,1541780,502367,2044147,528076,73109,601185,855482,136778,347797,102905,,1442962,,,,1442962,0,0,0,16.98
6270,倍微,2016Q1,tpex,1426302,208728,1635030,386544,20266,406810,721458,489079,97708,-80025,,1228220,,,,1228220,0,0,0,17.02
