stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
3118,進階,2023Q1,tpex,682593,145552,828145,254504,14835,269339,324529,0,56045,178232,0,,,0,0,,558806,0,0,0,17.22
3122,笙泉,2023Q1,tpex,561086,190493,751579,61941,200706,262647,395861,,49592,44388,-909,,488932,,,,488932,,148000,0,12.36
3128,昇銳,2023Q1,tpex,600797,659427,1260224,542595,74122,616717,420000,,93706,132944,0,-23245,623405,,,20102,643507,,0,1000000,15.21
3131,弘塑,2023Q1,tpex,4786444,2327170,7113614,2995010,1031281,4026291,292160,,1135960,1471404,235780,-82648,3052656,,,34667,3087323,0,0,694520,107.03
3141,晶宏,2023Q1,tpex,2701349,1152198,3853547,1283549,47873,1331422,750933,,357217,1406392,-24290,-3544,2486708,,,35417,2522125,0,1750,124000,33.17
3147,大綜,2023Q1,tpex,1878316,569632,2447948,1417296,12764,1430060,390061,,237150,396044,-5367,,1017888,,,,1017888,0,0,0,26.10
3152,璟德,2023Q1,tpex,1510651,2663285,4173936,489204,86736,575940,690162,,573532,2334302,0,0,,0,0,,3597996,0,0,0,52.13
3162,精確,2023Q1,tpex,3351581,2853311,6204892,2690318,989947,3680265,1308973,,1414595,-168203,-34129,,2521236,,,3391,2524627,0,0,0,19.26
3163,波若威,2023Q1,tpex,2818705,513954,3332659,1318991,54139,1373130,752869,,354950,908562,-56852,,1959529,,,,1959529,0,0,0,26.03
3169,亞信,2023Q1,tpex,2029239,150474,2179713,266267,11083,277350,627770,,502890,794404,-22701,,1902363,,,,1902363,,0,0,30.47
3171,炎洲流通,2023Q1,tpex,1013497,753857,1767354,872303,9180,881483,667035,,140573,190440,-4990,-107187,885871,,,,885871,,0,5066000,14.37
3176,基亞,2023Q1,tpex,6255283,3225907,9481190,884274,2458915,3343189,1393463,,1429795,-822673,-29754,,1970831,,,4167170,6138001,100000,0,0,14.14
3178,公準,2023Q1,tpex,1113256,1649089,2762345,813960,682940,1496900,450500,,162627,610601,-448,,1223280,,,42165,1265445,0,0,0,27.15
3188,鑫龍騰,2023Q1,tpex,6947184,35821,6983005,3031893,1643614,4675507,1863099,,156762,287637,0,,2307498,,,,2307498,,0,0,12.39
3191,雲嘉南,2023Q1,tpex,340980,67002,407982,96797,24083,120880,871948,,3385,-575652,-12579,0,287102,,,0,287102,,0,0,3.29
3205,佰研,2023Q1,tpex,345893,200992,546885,99255,6494,105749,325456,,222919,-93599,-26830,0,427946,,,13190,441136,,0,0,13.15
3206,志豐,2023Q1,tpex,2264883,455870,2720753,1206305,175064,1381369,589167,,197968,588359,-36110,0,1339384,,,0,1339384,0,0,0,22.73
3207,耀勝,2023Q1,tpex,801280,979464,1780744,424772,317139,741911,537704,,122151,88563,243428,,991846,,,46987,1038833,,0,0,18.45
3211,順達,2023Q1,tpex,11208244,5357812,16566056,5526704,3229229,8755933,1505315,,2172780,4404297,-272269,,7810123,,,0,7810123,0,0,0,51.88
3213,茂訊,2023Q1,tpex,2008574,1276200,3284774,663425,248804,912229,586855,,74113,1424060,265823,,2350851,,,21694,2372545,0,0,0,40.06
3217,優群,2023Q1,tpex,2735900,2435073,5170973,743819,94863,838682,901042,,848197,1314838,1268214,0,4332291,,,,4332291,0,0,0,48.08
3218,大學光,2023Q1,tpex,2495793,2379587,4875380,1462837,784602,2247439,799292,,381924,1273732,-3183,,2451765,,,176176,2627941,,0,0,30.67
3219,倚強科,2023Q1,tpex,1083601,859243,1942844,430992,27521,458513,703512,,162225,382731,24111,,1272579,,,211752,1484331,,0,0,18.09
3221,台嘉碩,2023Q1,tpex,2306125,1229404,3535529,913932,184064,1097996,1040444,,733831,801378,-215246,,2360407,,,77126,2437533,0,0,0,22.69
