stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
3128,昇銳,2019Q1,tpex,454199,466756,920955,207081,132071,339152,420000,98515,58056,313,-7324,569560,,,12243,581803,,0,503000,13.73
3131,弘塑,2019Q1,tpex,2807031,2026239,4833270,1803626,437163,2240789,292160,1091246,1142304,116717,-82648,2559779,,,32702,2592481,0,0,694520,89.75
3141,晶宏,2019Q1,tpex,1139990,323092,1463082,290279,13101,303380,634175,58540,473341,-6354,,1159702,,,,1159702,,0,0,18.29
3147,大綜,2019Q1,tpex,1690999,289193,1980192,1257694,65775,1323469,340061,47054,268499,1109,,656723,,,,656723,0,0,0,19.31
3152,璟德,2019Q1,tpex,2835366,1174128,4009494,496255,11138,507393,690162,573532,2238407,,,,,,,3502101,,0,0,50.74
3162,精確,2019Q1,tpex,463583,518671,982254,336760,132595,469355,1265313,314,-746575,-8347,,510705,,,2194,512899,,0,0,4.04
3163,波若威,2019Q1,tpex,1606419,859003,2465422,845339,122419,967758,752869,322699,673048,-1262,-249690,1497664,,,,1497664,0,0,6782000,21.86
3169,亞信,2019Q1,tpex,869400,156022,1025422,101649,13418,115067,544406,70135,309766,-13952,0,910355,0,,0,910355,0,0,0,16.94
3171,炎洲流通,2019Q1,tpex,735135,730826,1465961,454456,236737,691193,592035,53302,133251,-3820,,774768,,,,774768,,0,0,13.09
3176,基亞,2019Q1,tpex,1298864,3355561,4654425,540909,1301986,1842895,1386856,603990,-486962,8140,,1512024,,,1299506,2811530,0,0,0,10.90
3178,公準,2019Q1,tpex,550380,1704293,2254673,680825,653892,1334717,450500,162627,272160,118,,885405,,,34551,919956,0,0,0,19.65
3188,鑫龍騰,2019Q1,tpex,3750602,13111,3763713,2124520,575500,2700020,902951,1575,159167,0,,,,,,1063693,,0,0,11.78
3191,雲嘉南,2019Q1,tpex,413884,323031,736915,244190,206550,450740,571948,115885,-389382,-12276,0,286175,,,0,286175,,0,0,5.00
3205,佰研,2019Q1,tpex,681091,240880,921971,109328,41315,150643,327726,403466,67912,-27776,,771328,,,,771328,,0,0,23.54
3206,志豐,2019Q1,tpex,1365555,366978,1732533,718408,66207,784615,528595,133437,299072,-13186,0,947918,,,0,947918,,0,0,17.93
3207,耀勝,2019Q1,tpex,396641,194364,591005,304146,63518,367664,437704,79841,-273659,-14617,,229269,,,-5928,223341,,0,0,5.24
