stock_id,name,market,kind,first_seen,last_seen
00987A,主動台新優勢成長,twse,etf,2026-09-02,2026-09-02
00987B,野村10+澳洲公債,tpex,etf,2026-09-02,2026-09-02
00987D,主動統一美債量化,tpex,etf,2026-09-02,2026-09-02
00988A,主動統一全球創新,twse,etf,2026-09-02,2026-09-02
00988B,玉山嚴選非投債,tpex,etf,2026-09-02,2026-09-02
00989A,主動摩根美國科技,twse,etf,2026-09-02,2026-09-02
00989B,台新美國非投等債,tpex,etf,2026-09-02,2026-09-02
00990A,主動元大AI新經濟,twse,etf,2026-09-02,2026-09-02
00990B,國泰收益非投等債,tpex,etf,2026-09-02,2026-09-02
00991A,主動復華未來50,twse,etf,2026-09-02,2026-09-02
00991B,貝萊德A級公司債,twse,etf,2026-09-02,2026-09-02
00992A,主動群益科技創新,twse,etf,2026-09-02,2026-09-02
00993A,主動安聯台灣,twse,etf,2026-09-02,2026-09-02
00994A,主動第一金台股優,twse,etf,2026-09-02,2026-09-02
00995A,主動中信台灣卓越,twse,etf,2026-09-02,2026-09-02
00996A,主動兆豐台灣豐收,twse,etf,2026-09-02,2026-09-02
00997A,主動群益美國增長,twse,etf,2026-09-02,2026-09-02
00998A,主動復華金融股息,tpex,etf,2026-09-02,2026-09-02
00999A,主動野村臺灣高息,twse,etf,2026-09-02,2026-09-02
01001T,土銀富邦R1,twse,other,2026-09-02,2026-09-02
01002T,土銀國泰R1,twse,other,2026-09-02,2026-09-02
01004T,土銀富邦R2,twse,other,2026-09-02,2026-09-02
01007T,兆豐國泰R2,twse,other,2026-09-02,2026-09-02
01009T,王道圓滿R1,twse,other,2026-09-02,2026-09-02
01010T,京城樂富R1,twse,other,2026-09-02,2026-09-02
020000,富邦特選蘋果N,twse,other,2026-09-02,2026-09-02
02001L,富邦蘋果正二N,twse,other,2026-09-02,2026-09-02
020020,元大台股領航N,twse,other,2026-09-02,2026-09-02
020025,統一亞洲半導體N,tpex,other,2026-09-02,2026-09-02
020028,元大特選電動車N,twse,other,2026-09-02,2026-09-02
020029,元大ESG高股息N,twse,other,2026-09-02,2026-09-02
