stock_id,name,market,kind,event_date,prev_trade_date,prev_close,close,ratio,missing_trading_days,adj_events_in_range,cause,limit_on_reopen,source_note,in_universe
910708,恒大健-DR,twse,long_hole,2016-07-21,2016-05-31,198,212,1.070707,34,0,unknown,flat,,0
2429,銘旺科,twse,long_hole,2016-08-05,2016-07-06,8.22,9.04,1.099757,20,0,unknown,flat,,1
2025,千興,twse,long_hole,2016-08-17,2016-05-03,1.8,1.98,1.100000,73,0,unknown,flat,,1
910708,恒大健-DR,twse,long_hole,2016-10-27,2016-09-22,196,191,0.974490,21,0,unknown,flat,,0
6240,松崗,tpex,long_hole,2016-11-23,2016-03-25,27.3,27,0.989011,163,0,unknown,flat,,1
8921,沈氏,tpex,long_hole,2016-12-01,2016-11-02,16.1,16.1,1.000000,20,0,unknown,flat,,1
3701,大眾控,twse,long_hole,2016-12-23,2016-07-06,5.37,6.18,1.150838,116,0,unknown,flat,,1
1785,光洋科,tpex,long_hole,2017-01-03,2016-05-16,8.75,9.62,1.099429,158,0,unknown,up,,1
4413,飛寶企業,tpex,long_hole,2017-01-17,2015-12-24,16.5,10.7,0.648485,259,0,unknown,flat,,1
00643K,群益深証中小+R,twse,long_hole,2017-03-10,2017-02-07,2.9,3.04,1.048276,21,0,unknown,flat,,0
2718,晶悅,tpex,long_hole,2017-03-10,2017-01-06,26.35,26,0.986717,37,0,unknown,up,,1
6103,合邦,tpex,long_hole,2017-03-24,2017-02-21,17.6,14.1,0.801136,20,0,unknown,flat,,1
00643K,群益深証中小+R,twse,long_hole,2017-04-24,2017-03-21,3.08,3.03,0.983766,21,0,unknown,flat,,0
2718,晶悅,tpex,long_hole,2017-05-05,2017-03-31,27.6,26,0.942029,21,0,unknown,down,,1
910708,恒大健-DR,twse,long_hole,2017-05-10,2017-04-10,290,270,0.931034,20,0,unknown,flat,,0
911622,泰聚亨-DR,twse,long_hole,2017-06-08,2017-03-21,12.5,12.5,1.000000,52,0,unknown,,,1
2718,晶悅,tpex,long_hole,2017-06-30,2017-05-19,26,24.4,0.938462,28,0,unknown,down,,1
910708,恒大健-DR,twse,long_hole,2017-08-09,2017-06-27,311,320,1.028939,30,0,unknown,flat,,0
911622,泰聚亨-DR,twse,long_hole,2017-08-28,2017-06-12,12.45,11.8,0.947791,54,0,unknown,,,1
3465,祥業,tpex,long_hole,2017-09-13,2017-08-15,15.3,14.5,0.947712,20,0,unknown,flat,,1
00643K,群益深証中小+R,twse,long_hole,2017-10-12,2017-08-14,3.14,3.5,1.114650,40,0,unknown,flat,,0
911622,泰聚亨-DR,twse,long_hole,2017-10-12,2017-08-28,11.8,11.8,1.000000,30,0,unknown,flat,,1
3219,倚強,tpex,long_hole,2017-11-27,2017-05-25,15.2,16.7,1.098684,128,0,unknown,up,,1
910708,恒大健-DR,twse,long_hole,2017-12-13,2017-11-08,700,630,0.900000,24,0,unknown,flat,,0
2724,富驛-KY,tpex,long_hole,2018-01-09,2017-07-05,4.32,4.75,1.099537,130,0,unknown,up,,1
00643K,群益深証中小+R,twse,long_hole,2018-02-21,2017-10-16,3.54,3.28,0.926554,84,0,unknown,flat,,0
910708,恒大健-DR,twse,long_hole,2018-03-02,2017-12-22,621,581,0.935588,41,0,unknown,,,0
00643K,群益深証中小+R,twse,long_hole,2018-05-18,2018-02-27,3.37,3.33,0.988131,53,0,unknown,flat,,0
00643K,群益深証中小+R,twse,long_hole,2018-07-06,2018-05-18,3.33,2.79,0.837838,33,0,unknown,flat,,0
5205,漢康,tpex,long_hole,2018-08-27,2018-07-20,15,15.1,1.006667,25,0,unknown,,,1
00643K,群益深証中小+R,twse,long_hole,2018-09-12,2018-07-19,2.92,2.56,0.876712,38,0,unknown,flat,,0
00643K,群益深証中小+R,twse,long_hole,2018-10-15,2018-09-12,2.56,2.38,0.929687,20,0,unknown,flat,,0
8934,衡平,tpex,long_hole,2018-11-08,2018-10-03,42,38,0.904762,24,0,unknown,down,,0
4413,飛寶企業,tpex,long_hole,2018-11-09,2018-05-14,13.2,12.2,0.924242,125,0,unknown,,,1
