stock_id,name,susp_date,susp_time,resume_date,resume_time,days
08027P,7A兆豐,2016-03-30,8:00,2016-03-31,8:00,1
08078P,永豐7U,2016-03-30,8:00,2016-03-31,8:00,1
08079P,元大XT,2016-03-30,8:00,2016-03-31,8:00,1
08086P,ND群益,2016-03-30,8:00,2016-03-31,8:00,1
08093P,富邦JE,2016-03-30,8:00,2016-03-31,8:00,1
08096P,NP群益,2016-03-30,8:00,2016-03-31,8:00,1
08110P,HF凱基,2016-03-30,8:00,2016-03-31,8:00,1
08126P,兆豐19,2016-03-30,8:00,2016-03-31,8:00,1
08127P,兆豐20,2016-03-30,8:00,2016-03-31,8:00,1
08156P,永豐9B,2016-03-30,8:00,2016-03-31,8:00,1
08159P,HN中信,2016-03-30,8:00,2016-03-31,8:00,1
08166P,16元富,2016-03-30,8:00,2016-03-31,8:00,1
08168P,JF凱基,2016-03-30,8:00,2016-03-31,8:00,1
08232P,51元富,2016-03-30,8:00,2016-03-31,8:00,1
08239P,群益48,2016-03-30,8:00,2016-03-31,8:00,1
08321P,富邦MH,2016-03-30,8:00,2016-03-31,8:00,1
08324P,X1元大,2016-03-30,8:00,2016-03-31,8:00,1
08332P,DK國泰,2016-03-30,8:00,2016-03-31,8:00,1
08386P,Z9元大,2016-03-30,8:00,2016-03-31,8:00,1
08414P,玉山C5,2016-03-30,8:00,2016-03-31,8:00,1
08433P,3D凱基,2016-03-30,8:00,2016-03-31,8:00,1
08443P,JV中信,2016-03-30,8:00,2016-03-31,8:00,1
08489P,KM中信,2016-03-30,8:00,2016-03-31,8:00,1
08494P,FC兆豐,2016-03-30,8:00,2016-03-31,8:00,1
08540P,8U凱基,2016-03-30,8:00,2016-03-31,8:00,1
08541P,8V凱基,2016-03-30,8:00,2016-03-31,8:00,1
08635P,87富邦,2016-03-30,8:00,2016-03-31,8:00,1
08643P,群益ER,2016-03-30,8:00,2016-03-31,8:00,1
08648P,群益FA,2016-03-30,8:00,2016-03-31,8:00,1
08652P,7C元富,2016-03-30,8:00,2016-03-31,8:00,1
08667P,統一BM,2016-03-30,8:00,2016-03-31,8:00,1
08675P,HC兆豐,2016-03-30,8:00,2016-03-31,8:00,1
08678P,HT兆豐,2016-03-30,8:00,2016-03-31,8:00,1
08679P,HU兆豐,2016-03-30,8:00,2016-03-31,8:00,1
08682P,7P元富,2016-03-30,8:00,2016-03-31,8:00,1
08688P,7I元大,2016-03-30,8:00,2016-03-31,8:00,1
08690P,7K元大,2016-03-30,8:00,2016-03-31,8:00,1
08698P,凱基71,2016-03-30,8:00,2016-03-31,8:00,1
08749P,群益GI,2016-03-30,8:00,2016-03-31,8:00,1
08767P,D8富邦,2016-03-30,8:00,2016-03-31,8:00,1
08845P,永豐FP,2016-03-30,8:00,2016-03-31,8:00,1
08881P,群益JK,2016-03-30,8:00,2016-03-31,8:00,1
08912P,J1富邦,2016-03-30,8:00,2016-03-31,8:00,1
08964P,群益KX,2016-03-30,8:00,2016-03-31,8:00,1
08974P,日盛F6,2016-03-30,8:00,2016-03-31,8:00,1
08987P,F8元富,2016-03-30,8:00,2016-03-31,8:00,1
2317,鴻  海,2016-03-30,8:00,2016-03-31,8:00,1
2354,鴻準,2016-03-30,8:00,2016-03-31,8:00,1
045319,台新5K,2016-03-31,8:00,2016-03-31,8:00,0
045320,台新5L,2016-03-31,8:00,2016-03-31,8:00,0
045335,玉山20,2016-03-31,8:00,2016-03-31,8:00,0
910482,聖馬丁,2016-04-01,8:00,2016-04-11,8:00,10
03026P,J8元富,2016-05-13,8:00,2016-05-16,8:00,3
03050P,永豐IJ,2016-05-13,8:00,2016-05-16,8:00,3
03071P,康和DP,2016-05-13,8:00,2016-05-16,8:00,3
03071X,元展66,2016-05-13,8:00,2016-05-16,8:00,3
03130P,群益2Q,2016-05-13,8:00,2016-05-16,8:00,3
03141P,N7元富,2016-05-13,8:00,2016-05-16,8:00,3
03172P,HM國泰,2016-05-13,8:00,2016-05-16,8:00,3
03192P,群益4K,2016-05-13,8:00,2016-05-16,8:00,3
03219P,玉山L1,2016-05-13,8:00,2016-05-16,8:00,3
03226P,兆豐2A,2016-05-13,8:00,2016-05-16,8:00,3
03235P,永昌BX,2016-05-13,8:00,2016-05-16,8:00,3
03247P,20凱基,2016-05-13,8:00,2016-05-16,8:00,3
03277P,群益6K,2016-05-13,8:00,2016-05-16,8:00,3
03293P,日盛L4,2016-05-13,8:00,2016-05-16,8:00,3
03297P,兆豐3N,2016-05-13,8:00,2016-05-16,8:00,3
03303P,DF富邦,2016-05-13,8:00,2016-05-16,8:00,3
03350P,元大6X,2016-05-13,8:00,2016-05-16,8:00,3
03351P,元大6Y,2016-05-13,8:00,2016-05-16,8:00,3
03379P,兆豐4P,2016-05-13,8:00,2016-05-16,8:00,3
03394P,永豐NP,2016-05-13,8:00,2016-05-16,8:00,3
03403P,元大9G,2016-05-13,8:00,2016-05-16,8:00,3
03410P,JP國泰,2016-05-13,8:00,2016-05-16,8:00,3
03414P,FC富邦,2016-05-13,8:00,2016-05-16,8:00,3
03426P,凱基CT,2016-05-13,8:00,2016-05-16,8:00,3
03432P,FL元富,2016-05-13,8:00,2016-05-16,8:00,3
03453P,玉山M8,2016-05-13,8:00,2016-05-16,8:00,3
03474P,BK元大,2016-05-13,8:00,2016-05-16,8:00,3
03505P,台新4Y,2016-05-13,8:00,2016-05-16,8:00,3
03535P,DD元大,2016-05-13,8:00,2016-05-16,8:00,3
03583P,中信75,2016-05-13,8:00,2016-05-16,8:00,3
03610P,FV元大,2016-05-13,8:00,2016-05-16,8:00,3
03699P,4J永豐,2016-05-13,8:00,2016-05-16,8:00,3
03755P,兆豐9M,2016-05-13,8:00,2016-05-16,8:00,3
03756P,兆豐9N,2016-05-13,8:00,2016-05-16,8:00,3
03792P,8J群益,2016-05-13,8:00,2016-05-16,8:00,3
03793P,8K群益,2016-05-13,8:00,2016-05-16,8:00,3
038356,富邦A9,2016-05-13,8:00,2016-05-16,8:00,3
038543,CM中信,2016-05-13,8:00,2016-05-16,8:00,3
