cell,kind,version,r,seed,param,cagr,mdd,vol,expo,x_mult_short,n_rebal,ctrl_cost_total
Ba,mbar,median,10,99010,1.0583941605839415,0.17252505009578223,-0.4486215530236351,0.2606576918184692,0.8793532649094826,25.0,,
Ba,mbar,pooled,10,99010,1.058940349087199,0.17252743004991333,-0.44865299200768194,0.26067270073137166,0.8793740155227351,25.0,,
Ba,mbar,paired,11,99011,1.0615942028985508,0.27993537331564555,-0.4759052756659103,0.2962067183649337,0.8875029318933273,25.0,,
Ba,mbar,median,11,99011,1.0583941605839415,0.27962589279709604,-0.4756727583481351,0.2957911857257244,0.8872568565513569,24.0,,
Ba,mbar,pooled,11,99011,1.058940349087199,0.2796508112847236,-0.4757124251306089,0.29584050573329823,0.887317909351926,24.0,,
Ba,mbar,paired,12,99012,1.0437956204379562,0.31251692130902997,-0.4192231646961524,0.2760854028462145,0.8763833396938109,24.0,,
Ba,mbar,median,12,99012,1.0583941605839415,0.31505395440791184,-0.4180538756373437,0.27671462411709585,0.877086970220787,26.0,,
Ba,mbar,pooled,12,99012,1.058940349087199,0.3151445705680245,-0.41799268715432647,0.27673914395682525,0.8771129062216584,26.0,,
Ba,mbar,paired,13,99013,1.0615942028985508,0.2827982857528857,-0.3701006801025884,0.27493719182986487,0.8793963911244601,26.0,,
Ba,mbar,median,13,99013,1.0583941605839415,0.28268668292083143,-0.36978548512051934,0.2747381548875825,0.8791989572376316,26.0,,
Ba,mbar,pooled,13,99013,1.058940349087199,0.28270585132508264,-0.3698392895829688,0.2747718078028084,0.8792326443056082,26.0,,
Ba,mbar,paired,14,99014,1.072992700729927,0.25117414584321107,-0.49067845765863694,0.27347006679489544,0.8774373876320187,28.0,,
Ba,mbar,median,14,99014,1.0583941605839415,0.25072388543355273,-0.4872534342934184,0.2724607165615766,0.8763314890500942,28.0,,
Ba,mbar,pooled,14,99014,1.058940349087199,0.25074156077719123,-0.48738142765665604,0.27249715000816715,0.8763727111748855,28.0,,
Ba,mbar,paired,15,99015,1.062043795620438,0.3527941124381231,-0.438517262314096,0.2744824791331353,0.8801321094998485,25.0,,
Ba,mbar,median,15,99015,1.0583941605839415,0.3512639586140063,-0.4381586720390639,0.27423547537772563,0.8796853734384238,24.0,,
Ba,mbar,pooled,15,99015,1.058940349087199,0.35143124402015813,-0.4382123679550512,0.2742801593961002,0.8797572571712566,24.0,,
Ba,mbar,paired,16,99016,1.065217391304348,0.20207236892329794,-0.3568905020863354,0.26541334450866794,0.882031057105407,22.0,,
Ba,mbar,median,16,99016,1.0583941605839415,0.20122263758146186,-0.3568123807681116,0.2651194289315763,0.881660296898693,22.0,,
Ba,mbar,pooled,16,99016,1.058940349087199,0.20127769373565307,-0.3568807982763082,0.26514651923503313,0.8816901582446692,22.0,,
Ba,mbar,paired,17,99017,1.0615942028985508,0.18193599340054734,-0.42738085322929464,0.27235905701269125,0.877314436845012,24.0,,
Ba,mbar,median,17,99017,1.0583941605839415,0.18118502055852703,-0.42733395695122744,0.2720787501031526,0.8771025109689666,24.0,,
Ba,mbar,pooled,17,99017,1.058940349087199,0.18131328227850663,-0.42734197054468154,0.2721263992734352,0.8771386699783111,24.0,,
Ba,mbar,paired,18,99018,1.0583941605839415,0.3364447958403356,-0.39558649044061933,0.2777837443190606,0.8840804453787865,26.0,,
Ba,mbar,median,18,99018,1.0583941605839415,0.3364447958403356,-0.39558649044061933,0.2777837443190606,0.8840804453787865,26.0,,
Ba,mbar,pooled,18,99018,1.058940349087199,0.33630572855414864,-0.3956048154273855,0.27776413048160886,0.8840990217560595,27.0,,
Ba,mbar,paired,19,99019,1.0583941605839415,0.35604656098591825,-0.3838797070997225,0.28261588423348916,0.8750120823374762,26.0,,
Ba,mbar,median,19,99019,1.0583941605839415,0.35604656098591825,-0.3838797070997225,0.28261588423348916,0.8750120823374762,26.0,,
Ba,mbar,pooled,19,99019,1.058940349087199,0.3561508949456278,-0.3839419190855023,0.2826718588073401,0.875070185792623,26.0,,
Ba,mbar,paired,20,99020,1.072992700729927,0.3158216867232293,-0.4824748056121048,0.2955567875105292,0.8858928411954525,27.0,,
Ba,mbar,median,20,99020,1.0583941605839415,0.3135540437767783,-0.48305858693386566,0.29410169585120716,0.8845573854798715,26.0,,
Ba,mbar,pooled,20,99020,1.058940349087199,0.3136633389847816,-0.48303663468187896,0.294164189546531,0.8846185456663029,26.0,,
Ba,mbar,paired,21,99021,1.0543478260869565,0.3666983121227776,-0.5259621310858749,0.279586048215012,0.8778513243434753,27.0,,
Ba,mbar,median,21,99021,1.0583941605839415,0.3673965523525464,-0.5264672922317745,0.2798832444780174,0.8783824853922293,27.0,,
Ba,mbar,pooled,21,99021,1.058940349087199,0.3674706921344235,-0.5265356130342939,0.27992402142259176,0.8784526520992487,27.0,,
Ba,mbar,paired,22,99022,1.0766423357664234,0.3570389557192257,-0.47438232074597253,0.28808845333323974,0.877462318090904,28.0,,
