cell,j,r,seed,cagr,mdd,vol
Cc,3,10,99010,0.40309883358102727,-0.44425574548809094,0.299830516709385
Cc,3,11,99011,0.1948967176704084,-0.5133682019618303,0.2666950998940849
Cc,3,12,99012,0.22384635118488538,-0.4651654542420904,0.2621948917529607
Cc,3,13,99013,0.3869746686949438,-0.4026249172967016,0.28803160833820163
Cc,3,14,99014,0.2562822937988678,-0.48597621555147247,0.26679645207877434
Cc,3,15,99015,0.3582777360125857,-0.3370678728110664,0.27200561745147356
Cc,3,16,99016,0.31806140911814196,-0.4084988560842146,0.27549619922934226
Cc,3,17,99017,0.1723229991487425,-0.45489636812594336,0.2545998221103715
Cc,3,18,99018,0.35525039629141886,-0.4358359372623904,0.2864044612518908
Cc,3,19,99019,0.4656048353776687,-0.4440377274728496,0.287210381232075
Cc,3,20,99020,0.24990102624945054,-0.4838603955587516,0.27066716780554584
Cc,3,21,99021,0.1670461756850663,-0.44314911177841154,0.26859780542275125
Cc,3,22,99022,0.28501063559291784,-0.4607991696615034,0.2812111766048475
Cc,3,23,99023,0.39048771992412723,-0.5061017549392216,0.28574028977080906
Cc,3,24,99024,0.26348327434890173,-0.3841322592421934,0.2764674258796589
Cc,3,25,99025,0.2125414769957552,-0.37138596026274506,0.26571187284790587
Cc,3,26,99026,0.2340736221065809,-0.38456396867048714,0.26585650002211597
Cc,3,27,99027,0.3500158107704885,-0.43215521148606495,0.29084015688230397
Cc,3,28,99028,0.3943645949976362,-0.3368136694040816,0.26834031484357945
Cc,3,29,99029,0.46543856636307757,-0.3530586974087701,0.2860789771833373
Cc,3,30,99030,0.30242537588923435,-0.4579552955501233,0.2879374335758734
Cc,3,31,99031,0.3628029354544591,-0.42562916973609094,0.2801602829004073
Cc,3,32,99032,0.25630295514065105,-0.4368726317773994,0.27333092318873414
Cc,3,33,99033,0.20230521566776205,-0.4711520641685163,0.2763019211915567
Cc,3,34,99034,0.2937027286819618,-0.3923641174601345,0.2748084248323963
Cc,3,35,99035,0.29637015687489265,-0.5408570817821218,0.27855163637669605
Cc,3,36,99036,0.3499006848131856,-0.44941760227271227,0.2643920384089414
Cc,3,37,99037,0.3103494414905654,-0.3467728795319013,0.269571432908749
Cc,3,38,99038,0.37670513666613736,-0.37484990017273406,0.26368605873524786
Cc,3,39,99039,0.3059719990244605,-0.4463161035234861,0.26984851812764454
Cc,3,40,99040,0.2876127680557441,-0.3768393732267838,0.260075095570262
Cc,3,41,99041,0.22718820089478697,-0.492631001197545,0.2677775700968872
Cc,3,42,99042,0.2660328632190554,-0.3784955630688599,0.2706884073002472
Cc,3,43,99043,0.18826988984594162,-0.5056774321658052,0.2653432473733254
Cc,3,44,99044,0.31277106041057334,-0.3970667341332516,0.2666322679309501
Cc,3,45,99045,0.328367205342714,-0.4153190847436027,0.28336684570403176
Cc,3,46,99046,0.28203008896331694,-0.4468693568412995,0.27539025502898634
Cc,3,47,99047,0.401735985366382,-0.4232972844501195,0.2931304423192173
Cc,3,48,99048,0.2739174218019971,-0.39527909647647,0.27413136574498326
Cc,3,49,99049,0.33604401598860045,-0.42418379406253537,0.2736792652805377
Cc,4,0,99000,0.45285216446233156,-0.43341078268825195,0.29375287302903763
Cc,4,1,99001,0.3187758977900035,-0.41205866222368875,0.28293785808603633
Cc,4,2,99002,0.20378481268987847,-0.49694052067442157,0.26876387484755454
Cc,4,3,99003,0.20972831877490306,-0.4072079422151705,0.27235312439702003
Cc,4,4,99004,0.3377674989899786,-0.38544093411079017,0.2562352465273194
Cc,4,5,99005,0.42170861024429684,-0.3721682343527415,0.279250899162523
Cc,4,6,99006,0.46323021258429287,-0.36185060505176037,0.2767664605101946
Cc,4,7,99007,0.39119686626702066,-0.4076352429361897,0.2800594246396776
Cc,4,8,99008,0.43669268864684785,-0.44191439062982735,0.27736863731091727
Cc,4,9,99009,0.2750343751703668,-0.4201791083618554,0.2776271511157458
Cc,4,10,99010,0.2808754485671334,-0.3647543257604341,0.2672217701766378
Cc,4,11,99011,0.2928131541746837,-0.36902943552577655,0.27303005959253657
Cc,4,12,99012,0.39793272261700396,-0.4347606933521607,0.2831182641786052
Cc,4,13,99013,0.20877312540183812,-0.5019825020548911,0.271648736393037
Cc,4,14,99014,0.265513079669601,-0.3763186016272529,0.2671269375240448
Cc,4,15,99015,0.22909939570610427,-0.383408585692535,0.2679246625603141
Cc,4,16,99016,0.2621391992587938,-0.39444689924779774,0.27376273739022144
Cc,4,17,99017,0.3100109132807618,-0.4544419996872989,0.2821585260717463
Cc,4,18,99018,0.2608868987856716,-0.5054751931180441,0.28513818525679496
Cc,4,19,99019,0.38676404165503997,-0.45819853120104065,0.286010453600784
Cc,4,20,99020,0.26746958978429713,-0.4391079749124238,0.262613590883871
Cc,4,21,99021,0.31221514029567476,-0.465010436952053,0.2748173678924962
Cc,4,22,99022,0.2981896309882617,-0.4123122140349775,0.2813625373660265
Cc,4,23,99023,0.3357433826702829,-0.37217940513696657,0.27071279101123996
Cc,4,24,99024,0.2254187312007434,-0.4340671557856095,0.2781740008752075
Cc,4,25,99025,0.23608478408509792,-0.37755981060496513,0.2656942701226572
Cc,4,26,99026,0.3929029956080117,-0.4307095012518561,0.2787574602847404
Cc,4,27,99027,0.45216593435391395,-0.4913139302580121,0.30577202341719106
Cc,4,28,99028,0.3931840887978013,-0.46451949773721923,0.2848239644236323
Cc,4,29,99029,0.3444966463965735,-0.4135506715942993,0.27343067364347684
Cc,4,30,99030,0.265759883608619,-0.40186604413211796,0.26611002541298484
Cc,4,31,99031,0.12950005618367455,-0.40216592221097475,0.2506860663303078
Cc,4,32,99032,0.2520495149473114,-0.39653881440240424,0.2858180779179623
Cc,4,33,99033,0.36956872159775034,-0.40292373075922644,0.2865459750017536
Cc,4,34,99034,0.2197986342842866,-0.4331398782557784,0.2827899169053863
Cc,4,35,99035,0.22487728316411015,-0.45484689985832477,0.27370946252780215
Cc,4,36,99036,0.22024132473094138,-0.5087320142223495,0.28355027579892966
Cc,4,37,99037,0.30219996668895166,-0.4133866759028357,0.27687088671529736
Cc,4,38,99038,0.2580180475339695,-0.44929337605851977,0.2645839447354042
Cc,4,39,99039,0.30657113851162165,-0.37162053093821473,0.2628950690987858
Cc,4,40,99040,0.32474483109175867,-0.48912359520712284,0.30131915103190965
Cc,4,41,99041,0.28503405695555273,-0.4840144130420952,0.2828649364630234
Cc,4,42,99042,0.25357755121579073,-0.38728492812278853,0.2621349346765195
