seed,arm,cagr,mdd
102059,碎形k1,0.10056850565736264,-0.5438993490252824
102060,碎形k1,0.06971942834926614,-0.4529973858229667
102061,碎形k1,-0.014117505515058637,-0.5647494035277244
102062,碎形k1,-0.022759365841948154,-0.5419844321952901
102063,碎形k1,0.022303716095347426,-0.4571187158825456
102064,碎形k1,-0.0493110261571873,-0.7017821906074643
102065,碎形k1,0.06506793603645922,-0.490172893821358
102066,碎形k1,0.07010003838568601,-0.41364137789938427
102067,碎形k1,-0.013887841522455147,-0.3984032926178046
102068,碎形k1,0.0033303634393584414,-0.5071261573398492
102069,碎形k1,-0.012442457211495617,-0.47534412947364524
102070,碎形k1,0.05174532393545683,-0.4916535682124459
102071,碎形k1,0.09484892444510229,-0.4742431725496927
102072,碎形k1,0.035732711813071916,-0.6569830708401777
102073,碎形k1,-0.08274212896816535,-0.7152964797872079
102074,碎形k1,-0.005891789890903665,-0.5146669054025946
102075,碎形k1,0.03928168142108146,-0.573487814925637
102076,碎形k1,-0.03515586225341605,-0.5600834376213832
102077,碎形k1,-0.09409231329498946,-0.6884561775577915
102078,碎形k1,-0.026815206385844448,-0.6055593528634466
102079,碎形k1,-0.0120317119915474,-0.6255466104220594
102080,碎形k1,0.0009467063966142053,-0.4198862808390124
102081,碎形k1,0.01398588775009646,-0.604655668994393
102082,碎形k1,0.0445411920999601,-0.553994730078818
102083,碎形k1,0.002247383458969354,-0.6797417964099214
102084,碎形k1,0.037843700549227144,-0.4882200460325484
102085,碎形k1,-0.024186313745101273,-0.5302897087391654
102086,碎形k1,0.009728750607378878,-0.46866224923077227
102087,碎形k1,-0.027368031915140034,-0.5982554862890191
102088,碎形k1,0.08152616220430042,-0.5644656598468548
102089,碎形k1,0.04797191647468857,-0.5942524351352191
102090,碎形k1,-0.020355326893250814,-0.5694068079240923
102091,碎形k1,-0.021302136738502564,-0.6182004609296508
102092,碎形k1,-0.004824670471752945,-0.5942503953152465
102093,碎形k1,0.028062025105706434,-0.5252550644300878
102094,碎形k1,-0.014664983722988523,-0.5260654465343798
102095,碎形k1,-0.040409717531976086,-0.6513362128008159
102096,碎形k1,-0.05322237076909975,-0.6595986692998864
102097,碎形k1,0.019893146881945656,-0.39482528554684854
102098,碎形k1,-0.02640990021619305,-0.58246613375998
102099,碎形k1,-0.07564022176757612,-0.6370521416496435
102100,碎形k1,0.04247652752914366,-0.5203296078373553
102101,碎形k1,-0.0013512889851179377,-0.5229053069694273
102102,碎形k1,0.047153469379378476,-0.43660572501943723
102103,碎形k1,-0.029486317129645445,-0.5936150692667278
102104,碎形k1,0.02287831421367237,-0.4538290307353283
102105,碎形k1,0.029863859470547593,-0.5817986579799584
102106,碎形k1,-0.023286363111269637,-0.5964528993498178
102107,碎形k1,0.060515095761512594,-0.47120732434226253
102108,碎形k1,0.01912776543679362,-0.5112942028448558
102109,碎形k1,0.010974826697561335,-0.5770381851143246
102110,碎形k1,-0.062235550591873356,-0.6730755111185819
102111,碎形k1,0.007554655123494403,-0.56636041260296
102112,碎形k1,0.04105097514403022,-0.43192200546215914
