stock_id,rows,first,last
1907,2841,2015-01-05,2026-09-03
1909,2842,2015-01-05,2026-09-03
2002,2844,2015-01-05,2026-09-03
2002A,1326,2016-09-30,2026-07-27
2006,2834,2015-01-05,2026-09-03
2007,2389,2015-01-05,2026-09-03
2008,2281,2015-01-05,2026-09-02
2009,2747,2015-01-05,2026-09-03
2010,2817,2015-01-05,2026-09-03
2012,2550,2015-01-05,2026-09-03
2013,2746,2015-01-05,2026-09-03
2014,2842,2015-01-05,2026-09-03
2015,2843,2015-01-05,2026-09-03
2017,2771,2015-01-05,2026-09-03
2020,2789,2015-01-05,2026-09-03
2022,2778,2015-01-05,2026-09-03
2023,2842,2015-01-05,2026-09-03
2024,2447,2015-01-05,2026-09-03
2025,1351,2015-01-05,2026-09-03
2027,2841,2015-01-05,2026-09-03
2028,2181,2015-01-05,2026-09-03
2029,2816,2015-01-05,2026-09-03
2030,2834,2015-01-05,2026-09-03
2031,2838,2015-01-05,2026-09-03
2032,2530,2015-01-05,2026-09-03
2033,2346,2015-01-05,2026-09-03
2034,2842,2015-01-05,2026-09-03
2038,2592,2015-01-05,2026-09-03
2049,2844,2015-01-05,2026-09-03
2059,2843,2015-01-05,2026-09-03
2062,2839,2015-01-05,2026-09-03
2069,2427,2016-03-22,2026-09-03
2072,110,2026-03-26,2026-09-03
2101,2835,2015-01-05,2026-09-03
2102,2836,2015-01-05,2026-09-03
2103,2843,2015-01-05,2026-09-03
2104,2840,2015-01-05,2026-09-03
2105,2844,2015-01-05,2026-09-03
2106,2840,2015-01-05,2026-09-03
2107,2813,2015-01-05,2026-09-03
2108,2840,2015-01-05,2026-09-03
2109,2701,2015-01-05,2026-09-03
2114,2591,2015-01-05,2026-09-03
2115,2548,2015-01-05,2026-09-03
2201,2835,2015-01-05,2026-09-03
2204,2835,2015-01-05,2026-09-03
2206,2840,2015-01-05,2026-09-03
2207,2841,2015-01-05,2026-09-03
2208,2834,2015-01-05,2026-09-03
2211,1316,2021-04-12,2026-09-03
2227,2835,2015-01-05,2026-09-03
2228,2841,2015-01-05,2026-09-03
2231,2843,2015-01-05,2026-09-03
2233,1693,2019-09-17,2026-09-03
2236,2432,2015-06-03,2026-09-03
2237,19,2026-08-10,2026-09-03
2239,2576,2016-01-27,2026-09-03
2241,1464,2020-08-26,2026-09-03
2243,1859,2017-09-28,2026-09-03
2247,1427,2020-10-12,2026-09-03
2248,337,2025-03-17,2026-09-03
2250,1251,2021-05-31,2026-09-03
2254,653,2023-10-20,2026-09-03
2258,675,2023-11-20,2026-09-03
2301,2844,2015-01-05,2026-09-03
2302,2546,2015-01-05,2026-09-03
2303,2843,2015-01-05,2026-09-03
2305,2748,2015-01-05,2026-09-03
2308,2844,2015-01-05,2026-09-03
2311,800,2015-01-05,2018-04-17
2312,2842,2015-01-05,2026-09-03
2313,2844,2015-01-05,2026-09-03
2314,2784,2015-01-05,2026-09-03
2316,2825,2015-01-05,2026-09-03
2317,2836,2015-01-05,2026-09-03
2321,172,2015-01-06,2026-07-30
2323,2820,2015-01-05,2026-09-03
2324,2843,2015-01-05,2026-09-03
2325,800,2015-01-05,2018-04-17
2327,2809,2015-01-05,2026-09-03
2328,2843,2015-01-05,2026-09-03
2329,2832,2015-01-05,2026-09-03
2330,2844,2015-01-05,2026-09-03
2331,2843,2015-01-05,2026-09-03
2332,2835,2015-01-05,2026-09-03
2337,2834,2015-01-05,2026-09-03
2338,2832,2015-01-05,2026-09-03
2340,2826,2015-01-05,2026-09-03
2342,2637,2015-01-05,2026-09-03
2344,2844,2015-01-05,2026-09-03
2345,2844,2015-01-05,2026-09-03
2347,2844,2015-01-05,2026-09-03
2348,2166,2015-03-18,2026-09-03
2348A,119,2021-09-27,2026-08-25
2349,2820,2015-01-05,2026-09-03
2351,2844,2015-01-05,2026-09-03
2352,2838,2015-01-05,2026-09-03
2353,2844,2015-01-05,2026-09-03
2354,2843,2015-01-05,2026-09-03
2355,2844,2015-01-05,2026-09-03
