r,格,n,D,lo,hi,判過
18,甲_w_H60,4251,0.10421077393554458,0.08474089035370909,0.12368065751738007,True
18,甲_w_H120,4251,0.07292401787814631,0.0560988163651337,0.08974921939115893,True
18,甲_hs_H60,2709,0.07825765965300849,0.05213651741269189,0.10437880189332509,True
18,甲_hs_H120,2709,0.07715023994093761,0.05200812441298541,0.10229235546888982,True
18,甲_flag_H60,828,0.08574879227053141,0.029492463719329662,0.14200512082173317,True
18,甲_flag_H120,828,0.09178743961352658,0.0391682037839142,0.14440667544313895,True
18,乙_box,150636,-0.01022897470112001,-0.011180468172102545,-0.009277481230137474,True
18,乙_cup,397,-0.003623725659229415,-0.01634006973400507,0.009092618415546242,False
18,乙_w,18277,-0.013762367799799946,-0.01614900131818594,-0.011375734281413953,True
18,乙_hs,5022,-0.008256566149959208,-0.012782149139967015,-0.0037309831599514013,True
18,乙_flag,3603,-0.007707867859551201,-0.014102693731583977,-0.0013130419875184247,True
18,乙_trend,45169,-0.008209119341518386,-0.009592117304081806,-0.0068261213789549665,True
19,甲_box_H60,10238,0.040046884157061924,0.03227566821831348,0.04781810009581037,True
19,甲_box_H120,10238,0.027349091619456926,0.020182545509875048,0.0345156377290388,True
19,甲_cup_H60,127,-0.031496062992125984,-0.12678963110852393,0.06379750512427196,False
19,甲_cup_H120,127,0.031496062992125984,-0.06765551961430752,0.1306476455985595,False
19,甲_w_H60,4251,0.10068219242531169,0.08237966021966948,0.1189847246309539,True
19,甲_w_H120,4251,0.07598212185368149,0.05777435810331573,0.09418988560404724,True
19,甲_hs_H60,2709,0.04724990771502399,0.01887043950285152,0.07562937592719646,True
19,甲_hs_H120,2709,0.034699150978220746,0.011785287234115156,0.057613014722326335,True
19,甲_flag_H60,828,0.12198067632850242,0.06852563464717423,0.1754357180098306,True
19,甲_flag_H120,828,0.10144927536231885,0.05216588720615888,0.1507326635184788,True
19,乙_box,150636,-0.010146094138090667,-0.011085091254572,-0.009207097021609333,True
19,乙_cup,397,-0.0016652780846592643,-0.011752735148563986,0.008422178979245456,False
19,乙_w,18277,-0.013626575233516517,-0.016066460292209435,-0.0111866901748236,True
19,乙_hs,5022,-0.00893700039633519,-0.013668801948779655,-0.004205198843890727,True
19,乙_flag,3603,-0.005208460365872926,-0.012733280122228569,0.002316359390482716,False
19,乙_trend,45169,-0.0083819500859297,-0.00977505134634927,-0.0069888488255101305,True
20,甲_box_H60,10238,0.051572572768118774,0.04281432369242239,0.060330821843815156,True
20,甲_box_H120,10238,0.03506544246923227,0.027336310404069267,0.04279457453439528,True
20,甲_cup_H60,127,0.015748031496062992,-0.08917919216875445,0.12067525516088043,False
20,甲_cup_H120,127,0.1732283464566929,0.0758424755572248,0.27061421735616104,True
20,甲_w_H60,4251,0.08656786638438015,0.06472978371567653,0.10840594905308376,True
20,甲_w_H120,4251,0.061397318278052226,0.041435303460310144,0.08135933309579431,True
20,甲_hs_H60,2709,0.08748615725359911,0.056631420402621854,0.11834089410457636,True
20,甲_hs_H120,2709,0.058693244739756366,0.031257815910308163,0.08612867356920456,True
20,甲_flag_H60,828,0.11835748792270531,0.0755521859453693,0.16116278990004132,True
20,甲_flag_H120,828,0.10869565217391304,0.05802106917349765,0.15937023517432844,True
20,乙_box,150636,-0.010231340494953198,-0.01111985467693478,-0.009342826312971618,True
20,乙_cup,397,0.0040727893704531875,-0.008737667383282209,0.016883246124188584,False
20,乙_w,18277,-0.014051073215920864,-0.0166431083681964,-0.011459038063645328,True
20,乙_hs,5022,-0.007506621304513994,-0.012428925748715527,-0.00258431686031246,True
20,乙_flag,3603,-0.004746136580818268,-0.011049508124889352,0.0015572349632528145,False
20,乙_trend,45169,-0.008486845598467926,-0.00989416786704272,-0.0070795233298931335,True
21,甲_box_H60,10238,0.049716741551084194,0.04137785612515315,0.05805562697701524,True
21,甲_box_H120,10238,0.032428208634498926,0.024627887982869426,0.040228529286128425,True
21,甲_cup_H60,127,0.12598425196850394,0.04510178036956057,0.20686672356744729,True
21,甲_cup_H120,127,0.14173228346456693,0.04576406137427623,0.2377005055548576,True
21,甲_w_H60,4251,0.09738884968242767,0.07718930989045383,0.1175883894744015,True
21,甲_w_H120,4251,0.0632792284168431,0.04428110968894024,0.08227734714474595,True
21,甲_hs_H60,2709,0.07308970099667775,0.051908524655592335,0.09427087733776315,True
21,甲_hs_H120,2709,0.06090808416389812,0.04120227989595192,0.08061388843184432,True
21,甲_flag_H60,828,0.11594202898550725,0.05369898013319727,0.17818507783781723,True
21,甲_flag_H120,828,0.10628019323671498,0.05081323319924883,0.16174715327418113,True
21,乙_box,150636,-0.010036752334259495,-0.01090536479018868,-0.009168139878330308,True
21,乙_cup,397,-0.003406127830939846,-0.016511204318389754,0.00969894865651006,False
21,乙_w,18277,-0.012339164207631512,-0.014767083592291199,-0.009911244822971826,True
21,乙_hs,5022,-0.007195020944935623,-0.011702431176149112,-0.0026876107137221335,True
21,乙_flag,3603,-0.006619261147532631,-0.013176268238605182,-6.225405646007997e-05,True
