rank,idx,cell,n_cond,A,D,ratio,A_p10,A_p90,vol_med,expo_med,A_minus_0050,ratio_minus_0050,label,cand_order,luck_q,標記
69,8,F09,1,0.0988374535179822,-0.41396751588467584,0.2387565442345399,0.03562266577579967,0.18611627185006865,0.2336544346595713,0.9184668989547038,-0.00905318530847668,-0.07897065024215216,F,,1.7311691244906494e-22,探索，非結論
70,92,F05+F18,2,0.0919500394150637,-0.3872185685169873,0.23746288760692488,0.022932730377833933,0.1703612015197548,0.23571906762170985,0.918232542573127,-0.01594059941139518,-0.08026430686976718,F,,6.903475735383362e-23,探索，非結論
71,68,F04+F07,2,0.12373340986602141,-0.521183150847567,0.23740869148360158,0.03922494408565392,0.23067490708687066,0.316172175714597,0.9417959892015391,0.015842771039562525,-0.08031850299309048,R,38.0,6.903475735383362e-23,探索，非結論
72,157,F13+F15,2,0.0821231077867404,-0.3475937196322779,0.23626177099407625,0.02386844572309646,0.1528417179616113,0.2124011108225194,0.9184668989547038,-0.02576753103971849,-0.08146542348261582,F,,5.48167854860624e-23,探索，非結論
73,143,F11+F12,2,0.06509326944568475,-0.2757644707827278,0.23604661347752487,0.02327857703225772,0.11018350107361415,0.1571089244447733,0.9184668989547038,-0.042797369380774136,-0.0816805809991672,F,,4.351350570162948e-23,探索，非結論
74,137,F10+F13,2,0.09233563080981175,-0.3920346409455773,0.23552926493204945,0.023496496942745672,0.15490850673078135,0.2452301662886513,0.9184668989547038,-0.015555008016647137,-0.08219792954464261,F,,3.453018979992419e-23,探索，非結論
75,154,F12+F17,2,0.08135788987653444,-0.350080692924971,0.23239753439922206,0.029392970409633904,0.12683485724592852,0.2048098484636999,0.9184668989547038,-0.02653274894992444,-0.08532966007747,F,,6.782579001290443e-24,探索，非結論
76,58,F03+F11,2,0.06336219512961985,-0.2740156141323233,0.23123571016293248,0.02640150869908631,0.10597785403347436,0.1523237094490692,0.9184668989547038,-0.04452844369683903,-0.08649148431375958,F,,3.3605266386691656e-24,探索，非結論
77,66,F04+F05,2,0.11247797724814851,-0.4883061957355894,0.2303431294348222,0.03318263784949892,0.22568736896844335,0.2886110503065772,0.9414011668471731,0.004587338421689624,-0.08738406504186985,R,39.0,2.1007978142806513e-24,探索，非結論
78,59,F03+F12,2,0.09998136123519791,-0.4372959162707147,0.22863547889457747,0.031131251701895027,0.20861353995068588,0.2688428812734641,0.9184668989547038,-0.007909277591260977,-0.0890917155821146,F,,1.6602066141055187e-24,探索，非結論
79,60,F03+F13,2,0.0747782376782748,-0.3271049885574959,0.22860622825729504,0.0205201093876224,0.12590994059743793,0.21360111560818973,0.9184668989547038,-0.03311240114818409,-0.08912096621939702,F,,1.6602066141055187e-24,探索，非結論
80,27,F01+F11,2,0.06409888605274315,-0.28309471269600045,0.22642205303768903,0.01565532686141141,0.12882804288108943,0.16105472317452302,0.9184668989547038,-0.043791752773715734,-0.09130514143900303,F,,8.178032598489e-25,探索，非結論
81,152,F12+F15,2,0.08484323134302191,-0.3756216048244826,0.22587420492670213,-0.0003584472398395982,0.16630104294364084,0.2319567094679474,0.9184668989547038,-0.023047407483436977,-0.09185298954998994,F,,8.178032598489e-25,探索，非結論
82,50,F02+F18,2,0.08669980248109604,-0.386488407095763,0.22432704549301996,0.01121388292868773,0.1560489272823817,0.22835628810213388,0.9184668989547038,-0.02119083634536284,-0.0934001489836721,F,,5.092490963433827e-25,探索，非結論
83,125,F08+F18,2,0.09408134081822406,-0.4197829636940619,0.22411900661788314,0.02436010553429228,0.18121381134305473,0.25085904999434355,0.9184668989547038,-0.013809298008234827,-0.09360818785880892,F,,4.016584331324287e-25,探索，非結論
84,43,F02+F11,2,0.0686190753537553,-0.3073328733906793,0.22327281360014892,0.02610554711068037,0.12329131580433345,0.16814235687094226,0.9184668989547038,-0.03927156347270358,-0.09445438087654315,F,,3.166943063071606e-25,探索，非結論
85,146,F11+F15,2,0.0592452078417156,-0.2661950551743397,0.22256314191454085,0.02451441528077244,0.09438557060528628,0.14249943592122072,0.9184668989547038,-0.04864543098474328,-0.09516405256215121,F,,3.166943063071606e-25,探索，非結論
86,138,F10+F14,2,0.09180831149943175,-0.4257801576066794,0.2156237435193986,0.016837177170709552,0.15762174969647194,0.27214076739531057,0.9183170866265828,-0.016082327327027135,-0.10210345095729348,F,,6.750882955266925e-27,探索，非結論
87,95,F06+F09,2,0.10201031321894916,-0.47399070049215536,0.2152158536296799,0.026358933567749862,0.1745759643733507,0.2838366392471268,0.9184668989547038,-0.005880325607509729,-0.10251134084701216,F,,5.29232095394625e-27,探索，非結論
88,28,F01+F12,2,0.0945121996562654,-0.4457966342299339,0.21200743208733538,0.016197242810353663,0.193257116162219,0.28081596313975105,0.9184668989547038,-0.01337843917019349,-0.10571976238935668,F,,2.7745625246645595e-28,探索，非結論
89,69,F04+F08,2,0.11213040479506595,-0.5298409089818581,0.21163032694197897,0.021968827534034424,0.21991183976801382,0.31766103245978905,0.9407686186893338,0.004239765968607062,-0.10609686753471309,R,40.0,2.7745625246645595e-28,探索，非結論
90,161,F14+F15,2,0.07618492238314639,-0.36048637209488743,0.2113392579597793,0.02118249065228682,0.13935936654230854,0.21234732512721854,0.9184668989547038,-0.03170571644331249,-0.10638793651691278,F,,2.7745625246645595e-28,探索，非結論
91,33,F01+F17,2,0.07469505563869824,-0.35482036769831826,0.2105151294533543,0.01934238967281747,0.12318381358362276,0.1950103370834981,0.9183933589607116,-0.03319558318776064,-0.10721206502333777,F,,1.6889738995170524e-28,探索，非結論
92,166,F15+F17,2,0.0698018257496468,-0.33748133003277947,0.20683166604465783,0.02603553884183951,0.1043241512057875,0.1754194264494186,0.9184668989547038,-0.038088813076812084,-0.11089552843203423,F,,5.021602218840968e-30,探索，非結論
93,30,F01+F14,2,0.08859990108062604,-0.4324616418656634,0.20487343270122452,0.022905725137053624,0.17299734822531554,0.25635827062039357,0.9184668989547038,-0.019290737745832842,-0.11285376177546755,F,,3.0209649896223457e-30,探索，非結論
94,86,F05+F12,2,0.08917466335760775,-0.43929260829133365,0.20299604790633802,0.008959403377449783,0.17946511826187425,0.25849878554778927,0.9184668989547038,-0.018715975468851134,-0.11473114657035405,F,,1.0883662935525865e-30,探索，非結論
95,61,F03+F14,2,0.083780642521726,-0.4189776625320778,0.19996446114907518,0.0162373392381803,0.14744079527223192,0.23627708092991662,0.9184668989547038,-0.024109996304732886,-0.11776273332761689,F,,1.0700544946953013e-31,探索，非結論
96,145,F11+F14,2,0.06138402013878115,-0.30724819823064675,0.19978642834123655,0.028367385819864442,0.10529514090572788,0.1540242094932544,0.9184668989547038,-0.046506618687677734,-0.11794076613545551,F,,8.253303351875102e-32,探索，非結論
97,126,F09+F10,2,0.0956629107645924,-0.4809893605352597,0.19888778965533827,0.010714830854961487,0.17218794182183944,0.28255769201335923,0.9184668989547038,-0.012227728061866491,-0.1188394048213538,F,,8.253303351875102e-32,探索，非結論
