arm,r,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades
E1,81,102081,6281ceedb896a9564f58de0ad1c09a1a2118dab2bbf7b9d8dcbc87d93e8d9dda,-0.7416026503799112,-0.7443677458128768,-0.13354150910403217,-0.7807425063752168,0.3029707198986666,0.3200181570585565,757
E1,82,102082,fa1bdd99218cde072dbb02200e892e9c21b9aa8e4f48e60b45c5f69910e6601b,-0.7202390655812798,-0.7232327715276478,-0.12622019566389453,-0.7487968896224886,0.2955833761105671,0.31286881525192917,761
E1,83,102083,b894bd9ce2fb54bc4558a18bd75a38bca2ea946e6a7009316f50d206ce294d96,-0.6104243152447231,-0.6145931426274149,-0.09502987619826053,-0.6820492584191955,0.3113826307383847,0.32949387199273716,742
E1,84,102084,f498055966089c0bde63585f63859c302e7fddf873b381c21955d32fe1447d4b,-0.6320069949097651,-0.635944867257273,-0.10047672496621995,-0.7202291561104346,0.29268674842322145,0.31065592374035406,754
E1,85,102085,8efeb9d49da8a87ad3c72016b1ef3a8f198fce350846d5443a64c90a0cb04aca,-0.5863329858943085,-0.5907596132306719,-0.08925982322972514,-0.6852103382493712,0.301448860413416,0.3196209714026328,748
E1,86,102086,48fa8f2a7ed08ef53e02cc51a6e3d1710104f31c2174d00e3ed54506717fa2f9,-0.636364640081367,-0.6402558815141994,-0.10161101822835861,-0.7545510136218819,0.29400995140256697,0.31145029505220156,766
E1,87,102087,320f53be2b0df420a68c57511cca864fbb5a2ce141cc626dcd6c156277a957ae,-0.5201559184972202,-0.5252907028912925,-0.0748308206279672,-0.6820537460876012,0.29547855908402376,0.31179073990013617,754
E1,88,102088,26fc64d53a6f9765da11921ff872159e7c36019cafc38280f2c1eb706e2db215,-0.706245654586729,-0.7093891032332041,-0.12169111169190339,-0.7726568534745729,0.30272253290764745,0.32115297321833863,755
E1,89,102089,6986b7a01e7e09e167550b2644f8a5733b7f4623a0eea277e95d7ec0a78df1de,-0.7315472586466627,-0.7344199562582077,-0.13003066720441592,-0.7865840423040223,0.3020633100176488,0.31928052655469813,759
E1,90,102090,aeeff91b63e603684e7a85b728c38558dc54ea59efba39edea587ca7375fd862,-0.6240831655513253,-0.6281058303489215,-0.0984445823090313,-0.6687836922627222,0.2900685081498796,0.30640036314117114,758
E1,91,102091,9473cf50665479109ea4d22a596affdd5594eab3a42d2c6b0272560d61864e50,-0.6384129458749015,-0.6422822685032132,-0.10214839596980152,-0.7266369437713843,0.29593039311377617,0.31337948252383113,753
E1,92,102092,b183e47ba117aeb1f12a30f38a27aed1f9549a62bc2b65c43fbf10a243486307,-0.6173201484873718,-0.6214151839483054,-0.09674021140192246,-0.6983488861392897,0.29890015255412,0.3161030413073082,755
E1,93,102093,e76d55988523c9822cd8c49178b3543e72db41ef05d808bd89498f115407fa9a,-0.7420675132459735,-0.7448276342076846,-0.13370675266470455,-0.815032140626139,0.30027183470227226,0.31803222877893783,756
E1,94,102094,24b1f5b992363fe94b31c8b5feb2ec0dd80a35a3ea9cbf4b874e40a26a5185a0,-0.7341211406831766,-0.7369662953285316,-0.1309179947331458,-0.7980995144432825,0.29576896856870905,0.3131525192918747,755
E1,95,102095,0cf4f78ee49994a982229e5ee00130560db9c9975c0ee46e71f131b0afef92d3,-0.6683127562297194,-0.6718621226774426,-0.11031937563760563,-0.7311045528433404,0.29323485513066705,0.30991829323649567,758
