stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b,w_mean
main,1,win,167,1167,526,2859,163,3fe48b95a08f1542,0.4250408201917064,-0.37706479288585465,0.286519410527177,523.0,2836.0,
main,1,win,168,1168,526,2859,163,6f1d260a80012c43,0.3896921571205836,-0.39478535931789693,0.2826484861703367,523.0,2836.0,
main,1,win,169,1169,526,2859,163,94e723fc62a08dbf,0.360677836075346,-0.41166062629691164,0.282216108462521,523.0,2836.0,
main,1,win,170,1170,526,2859,163,f2525b30a6f78433,0.43281742654199573,-0.35104277903987924,0.28902640388717593,523.0,2836.0,
main,1,win,171,1171,526,2859,163,443820f9ffd07320,0.4287198495928981,-0.3893405204100862,0.2903268306683324,523.0,2836.0,
main,1,win,172,1172,526,2859,163,451ecc7dedcb535b,0.3897015022782322,-0.3697778710054744,0.2892111015335224,523.0,2836.0,
main,1,win,173,1173,526,2859,163,a07e4003cc8fc8a3,0.40261006656572396,-0.43519645253354977,0.2878441799857038,523.0,2836.0,
main,1,win,174,1174,526,2859,163,fec90fff1a5b343f,0.4116748613195951,-0.36802171796393174,0.28522459241087045,523.0,2836.0,
main,1,win,175,1175,526,2859,163,66fbd1aacf6ee37e,0.3964459598937793,-0.4371915034122736,0.28601097842133694,523.0,2836.0,
main,1,win,176,1176,526,2859,163,6e3d04dde236dcbf,0.412152287156933,-0.38672359124103967,0.28803522875053117,523.0,2836.0,
main,1,win,177,1177,526,2859,163,0075570631ae75c2,0.43605594263406666,-0.34218737689734874,0.28769412976716635,523.0,2836.0,
main,1,win,178,1178,526,2859,163,bfb10a41886d0454,0.39723538871647546,-0.38550594989723863,0.2853936459818625,523.0,2836.0,
main,1,win,179,1179,526,2859,163,82e5346482450154,0.3976182851634267,-0.37328401936031647,0.28481932047043845,523.0,2836.0,
main,1,win,180,1180,526,2859,163,db3df73471767343,0.41899549333185315,-0.3676132357810294,0.2874411101596944,523.0,2836.0,
