stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
dataonly,1,orig,106,1106,511,2859,166,7e313f36f3cfd145,0.4497694819580771,-0.4331686018967949,0.2880211799846646,511,2859
dataonly,1,orig,107,1107,511,2859,166,76ee019929da31cf,0.4690279540584945,-0.36963949651625816,0.29137108188948646,511,2859
dataonly,1,orig,108,1108,511,2859,166,8bed457c5ed9d945,0.4384600390016473,-0.4278860380749714,0.2871760025154857,511,2859
dataonly,1,orig,109,1109,511,2859,166,947f9d06ed208cf6,0.4487528342941607,-0.3835637309919587,0.2885006488262019,511,2859
dataonly,1,orig,110,1110,511,2859,166,c84ea8333ce174e0,0.4523332179921855,-0.41934744702654564,0.28661979428686973,511,2859
dataonly,1,orig,111,1111,511,2859,166,3a73b6ad861cd245,0.5013625181976933,-0.37797704672739546,0.2924344539331943,511,2859
dataonly,1,orig,112,1112,511,2859,166,27323b4aa92aca8a,0.4427666437370241,-0.37328406623123117,0.2887701167241191,511,2859
dataonly,1,orig,113,1113,511,2859,166,d1355942e8d67af0,0.47759352295502056,-0.35792169996177503,0.2885024403046715,511,2859
dataonly,1,orig,114,1114,511,2859,166,988dcc9739588da7,0.4639221519963148,-0.4713319181343078,0.29168083384939536,511,2859
dataonly,1,orig,115,1115,511,2859,166,3b287219e4d42105,0.47825716549287955,-0.3721622668045972,0.2909629079333327,511,2859
dataonly,1,orig,116,1116,511,2859,166,6273ea0a1c652f19,0.47779361344899995,-0.40546972864849135,0.2905573017963449,511,2859
dataonly,1,orig,117,1117,511,2859,166,7b4c651e5455a6ff,0.49134498030315266,-0.3888166812704478,0.2923693970135264,511,2859
dataonly,1,orig,118,1118,511,2859,166,59e08c6ea8f05641,0.4356990074023852,-0.45227101868717323,0.28708362882296845,511,2859
dataonly,1,orig,119,1119,511,2859,166,5eafa5c70c7b8851,0.4532681058986221,-0.40453941428203866,0.28691089709792783,511,2859
dataonly,1,orig,120,1120,511,2859,166,598f5cdbf2ccd6ef,0.4796110861980716,-0.42700662226328695,0.2894504403613408,511,2859
dataonly,1,orig,121,1121,511,2859,166,545c8ace6e3cfc91,0.5062106800310504,-0.36489184048230167,0.28958781707635034,511,2859
