stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
winonly,3,win,148,7148,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,149,7149,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,150,7150,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,151,7151,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,152,7152,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,153,7153,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,154,7154,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,155,7155,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,156,7156,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,157,7157,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,158,7158,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,159,7159,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,160,7160,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,161,7161,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,162,7162,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,163,7163,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,164,7164,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,165,7165,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,166,7166,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,167,7167,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,168,7168,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,169,7169,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,170,7170,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,171,7171,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,172,7172,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,173,7173,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,174,7174,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,175,7175,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,176,7176,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,177,7177,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,178,7178,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,179,7179,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,180,7180,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,181,7181,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,182,7182,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,183,7183,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,184,7184,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,185,7185,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,186,7186,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,187,7187,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,188,7188,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
