key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2016-03-09_1519,2016-03-09,1519,華城,twse,16.40,16.80,16.25,16.60,946605,15648583,0.35,,,378,
2016-03-09_1521,2016-03-09,1521,大億,twse,83.90,84.10,82.80,83.40,161000,13420100,0.0,,,118,
2016-03-09_1522,2016-03-09,1522,堤維西,twse,27.15,27.20,26.55,26.75,1708083,45882969,-0.4,,,899,
2016-03-09_1524,2016-03-09,1524,耿鼎,twse,6.89,6.93,6.85,6.88,103018,708924,-0.01,,,53,
2016-03-09_1525,2016-03-09,1525,江申,twse,106.50,114.00,103.00,103.00,1305606,141649219,-3.5,,,1019,
2016-03-09_1526,2016-03-09,1526,日馳,twse,14.55,14.55,14.30,14.35,249013,3585682,-0.15,,,82,
2016-03-09_1527,2016-03-09,1527,鑽全,twse,69.80,69.90,68.20,68.70,1500748,103310783,-1.7,,,1199,
2016-03-09_1528,2016-03-09,1528,恩德,twse,9.09,9.09,9.00,9.00,48017,432963,-0.07,,,40,
2016-03-09_1529,2016-03-09,1529,樂事綠能,twse,3.05,3.30,3.05,3.05,22000,68350,-0.09,,,9,
2016-03-09_1530,2016-03-09,1530,亞崴,twse,32.55,33.30,32.50,32.90,62322,2052178,0.1,,,39,
2016-03-09_1531,2016-03-09,1531,高林股,twse,18.95,19.80,18.95,19.10,942402,18228257,0.2,,,397,
2016-03-09_1532,2016-03-09,1532,勤美,twse,26.90,26.90,26.25,26.80,572681,15301262,-0.1,,,310,
2016-03-09_1533,2016-03-09,1533,車王電,twse,43.90,43.90,43.05,43.15,188152,8139665,-0.65,,,151,
2016-03-09_1535,2016-03-09,1535,中宇,twse,60.00,61.20,59.50,60.90,53088,3191558,0.7,,,48,
2016-03-09_1536,2016-03-09,1536,和大,twse,122.00,122.50,120.00,120.50,2354194,284324332,-1.0,,,1500,
2016-03-09_1537,2016-03-09,1537,廣隆,twse,132.00,133.50,131.00,133.00,412003,54264408,2.5,,,397,
2016-03-09_1538,2016-03-09,1538,正峰,twse,5.35,5.80,5.35,5.80,1233049,7069034,0.52,,,406,
2016-03-09_1539,2016-03-09,1539,巨庭,twse,34.30,37.25,34.30,35.90,2648000,95686250,1.3,,,1699,
2016-03-09_1540,2016-03-09,1540,喬福,twse,16.30,17.85,16.15,17.40,854150,14723894,1.1,,,266,
2016-03-09_1541,2016-03-09,1541,錩泰,twse,53.50,56.90,53.00,54.40,994000,55312600,0.9,,,759,
2016-03-09_1558,2016-03-09,1558,伸興,twse,152.00,153.00,151.00,153.00,200645,30540685,1.5,,,192,
2016-03-09_1560,2016-03-09,1560,中砂,twse,55.00,55.00,54.40,54.70,233587,12753808,-0.3,,,166,
2016-03-09_1565,2016-03-09,1565,精華,tpex,594.00,594.00,572.00,577.00,442000,255926000,,,50416516,428,
2016-03-09_1566,2016-03-09,1566,捷邦,tpex,24.45,25.20,24.45,24.65,1830000,45474250,0.25,,66467028,822,
2016-03-09_1568,2016-03-09,1568,倉佑,twse,26.50,27.30,25.60,25.70,3175400,84035099,-0.2,,,1776,
2016-03-09_1569,2016-03-09,1569,濱川,tpex,10.20,10.20,9.72,9.77,103000,1017050,,,93784745,55,
2016-03-09_1570,2016-03-09,1570,力肯,tpex,16.55,16.85,16.55,16.65,435000,7294950,0.10,,51500839,188,
2016-03-09_1580,2016-03-09,1580,新麥,tpex,105.50,109.50,105.50,107.50,403000,43453000,1.00,,48531634,334,
2016-03-09_1582,2016-03-09,1582,信錦,twse,50.80,50.80,50.00,50.30,497422,25024710,-0.7,,,366,
2016-03-09_1583,2016-03-09,1583,程泰,twse,66.50,67.00,66.10,66.60,22110,1469026,0.3,,,22,
2016-03-09_1584,2016-03-09,1584,精剛,tpex,15.80,16.50,15.75,16.45,6794000,109733000,1.35,,102470533,2496,
2016-03-09_1586,2016-03-09,1586,和勤,tpex,36.00,36.15,35.45,35.60,873000,31261250,0.10,,45106273,329,
2016-03-09_1589,2016-03-09,1589,永冠-KY,twse,226.50,234.00,226.50,233.50,958703,221870148,7.5,,,805,
2016-03-09_1590,2016-03-09,1590,亞德客-KY,twse,180.50,181.00,178.00,180.00,403202,72443658,2.0,,,335,
2016-03-09_1591,2016-03-09,1591,F-駿吉,tpex,18.20,18.80,18.20,18.50,7000,129200,,,30149825,5,
2016-03-09_1592,2016-03-09,1592,英瑞-KY,twse,30.00,30.00,29.50,29.85,9055,269327,-0.15,,,9,
2016-03-09_1593,2016-03-09,1593,祺驊,tpex,39.00,39.10,39.00,39.00,25000,975100,0.00,,30300560,11,
2016-03-09_1595,2016-03-09,1595,川寶,tpex,57.90,58.00,57.60,57.90,18000,1040000,,,38687448,15,
2016-03-09_1597,2016-03-09,1597,直得,tpex,25.70,27.40,25.70,26.25,257000,6846150,0.65,,59233799,189,
2016-03-09_1599,2016-03-09,1599,宏佳騰,tpex,56.50,58.20,55.50,56.10,1490000,84737400,0.20,,44980521,1036,
2016-03-09_1603,2016-03-09,1603,華電,twse,12.45,12.50,12.40,12.50,130290,1621859,0.0,,,38,
2016-03-09_1604,2016-03-09,1604,聲寶,twse,12.65,12.75,12.60,12.75,540182,6837182,0.0,,,242,
2016-03-09_1605,2016-03-09,1605,華新,twse,8.91,8.94,8.69,8.73,13409014,118140532,-0.28,,,2910,
2016-03-09_1608,2016-03-09,1608,華榮,twse,7.55,7.55,7.39,7.41,648274,4841175,-0.19,,,147,
