key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit
2026-09-02_00795B,2026-09-02,00795B,中信美國公債20年,tpex,25.70,25.77,25.68,25.75,10411640,267947946,0.05,
2026-09-02_00799B,2026-09-02,00799B,國泰A級醫療債,tpex,28.36,28.36,28.20,28.33,280510,7939611,-0.03,
2026-09-02_00830,2026-09-02,00830,國泰費城半導體,twse,79.35,79.65,79.20,79.65,12078559,958757150,-1.4,
2026-09-02_00834B,2026-09-02,00834B,第一金金融債10+,tpex,32.96,32.96,32.96,32.96,100082,3298974,-0.06,down
2026-09-02_00836B,2026-09-02,00836B,永豐10年A公司債,tpex,27.65,27.70,27.65,27.65,111071,3074273,-0.07,
2026-09-02_00840B,2026-09-02,00840B,凱基IG精選15+,tpex,28.58,28.58,28.58,28.58,100000,2858000,0.00,down
2026-09-02_00841B,2026-09-02,00841B,凱基AAA-AA公司債,tpex,27.22,27.22,27.22,27.22,101000,2749220,-0.04,down
2026-09-02_00842B,2026-09-02,00842B,台新美元銀行債,tpex,29.18,29.18,29.08,29.14,77596,2258925,-0.04,
2026-09-02_00844B,2026-09-02,00844B,台新15年IG金融債,tpex,30.21,30.32,30.21,30.32,123000,3724630,0.07,
2026-09-02_00845B,2026-09-02,00845B,富邦新興投等債,tpex,32.41,32.43,32.41,32.43,146016,4734780,0.03,
2026-09-02_00846B,2026-09-02,00846B,富邦歐洲銀行債,tpex,34.97,34.97,34.92,34.92,101168,3532846,-0.05,
2026-09-02_00847B,2026-09-02,00847B,中信美國市政債,tpex,24.40,24.47,24.36,24.45,225000,5504330,0.03,
2026-09-02_00848B,2026-09-02,00848B,中信新興亞洲債,tpex,33.25,33.27,33.25,33.27,205059,6821212,0.04,
2026-09-02_00849B,2026-09-02,00849B,中信EM主權債0-5,tpex,37.07,37.24,37.07,37.24,238064,8863246,0.11,
2026-09-02_00850,2026-09-02,00850,元大臺灣ESG永續,twse,92.35,93.00,91.70,91.90,435894,40101362,-1.3,
2026-09-02_00851,2026-09-02,00851,台新全球AI,twse,69.50,69.50,69.05,69.15,87910,6079990,-0.35,
2026-09-02_00852L,2026-09-02,00852L,國泰美國道瓊正2,twse,34.74,34.77,34.69,34.76,51940,1804448,-0.49,
2026-09-02_00853B,2026-09-02,00853B,統一美債10年Aa-A,tpex,26.57,26.62,26.55,26.61,1060921,28225008,0.01,
2026-09-02_00856B,2026-09-02,00856B,永豐1-3年美公債,tpex,37.28,37.29,37.28,37.28,15030,560369,0.02,
2026-09-02_00857B,2026-09-02,00857B,永豐20年美公債,tpex,22.32,22.40,22.32,22.39,1457746,32608601,0.04,
2026-09-02_00858,2026-09-02,00858,永豐美國500大,tpex,35.56,35.59,35.51,35.59,421170,14965044,-0.11,
2026-09-02_00859B,2026-09-02,00859B,群益0-1年美債,tpex,40.92,41.05,40.92,41.05,2940639,120597794,0.13,
2026-09-02_00860B,2026-09-02,00860B,群益1-5Y投資級債,tpex,37.79,37.81,37.79,37.81,100000,3780000,0.09,
2026-09-02_00861,2026-09-02,00861,元大全球未來通訊,twse,83.90,84.05,83.00,83.20,88061,7367559,-1.25,
2026-09-02_00862B,2026-09-02,00862B,中信投資級公司債,tpex,30.51,30.51,30.42,30.47,294769,8985919,-0.07,
2026-09-02_00863B,2026-09-02,00863B,中信全球電信債,tpex,30.61,30.72,30.57,30.67,339000,10390470,0.02,
2026-09-02_00864B,2026-09-02,00864B,中信美國公債0-1,tpex,45.83,45.99,45.83,45.99,621447,28554787,0.16,
2026-09-02_00865B,2026-09-02,00865B,國泰US短期公債,twse,48.61,48.75,48.61,48.75,1599848,77900715,0.16,
2026-09-02_00867B,2026-09-02,00867B,台新A-BBB電信債,tpex,29.23,29.23,29.23,29.23,1000,29230,0.00,down
2026-09-02_00870B,2026-09-02,00870B,元大15年EM主權債,tpex,27.25,27.25,27.25,27.25,4072,110962,0.02,up
2026-09-02_00875,2026-09-02,00875,國泰網路資安,twse,54.00,54.00,52.95,53.25,118269,6289810,-1.95,
2026-09-02_00876,2026-09-02,00876,元大全球5G,twse,85.40,85.40,84.30,84.50,63281,5355159,-1.8,
2026-09-02_00877,2026-09-02,00877,復華中國5G,tpex,36.86,36.90,36.33,36.75,1639077,60010127,-0.50,
2026-09-02_00878,2026-09-02,00878,國泰永續高股息,twse,33.67,33.85,33.60,33.65,34938216,1174678568,-0.11,
2026-09-02_00881,2026-09-02,00881,國泰台灣科技龍頭,twse,50.75,51.00,49.98,50.00,22190767,1117191505,-1.05,
2026-09-02_00882,2026-09-02,00882,中信中國高股息,twse,14.93,14.96,14.86,14.95,4408758,65635277,0.02,
2026-09-02_00884B,2026-09-02,00884B,中信低碳新興債,tpex,28.46,28.52,28.46,28.48,234972,6698683,-0.04,
2026-09-02_00885,2026-09-02,00885,富邦越南,twse,18.55,18.57,18.51,18.54,1294311,24002935,-0.01,
2026-09-02_00886,2026-09-02,00886,永豐美國科技,tpex,46.91,46.91,46.91,46.91,40139,1882923,-0.29,down
2026-09-02_00887,2026-09-02,00887,永豐中國科技50大,tpex,16.03,16.10,15.80,15.89,4305077,68454922,-0.24,
2026-09-02_00888,2026-09-02,00888,永豐台灣ESG,tpex,33.89,34.00,33.50,33.54,5266753,177149611,-0.54,
