seed,段,sid,vol60,回看無成交日比,段內無成交日比,段內報酬
102002,1,2912,0.007852756197817699,0.0,0.0,-0.09292167259612216
102002,1,2884,0.010797613942097686,0.0,0.0,-0.0793531119571641
102002,1,2409,0.01801979185662977,0.0,0.0,-0.43462420410029434
102002,1,2206,0.019278691480485603,0.0,0.0,-0.1485871051382348
102002,1,1314,0.020244733708210335,0.0,0.0,-0.42735849497962464
102002,1,8155,0.023599297880620672,0.0,0.0,-0.2886819370763125
102002,1,2515,0.024038411534944095,0.0,0.0,-0.4118747239399293
102002,1,2345,0.026042035634681295,0.0,0.0,-0.22294904552696493
102002,2,2633,0.008541656290662612,0.0,0.0,0.18399844634600115
102002,2,1102,0.014993159545584174,0.0,0.0,0.1662425024332599
102002,2,1710,0.020066731896744447,0.0,0.0,0.03363941884724442
102002,2,8489,0.02252461055786175,0.0,0.0,0.04892276509875759
102002,2,5274,0.02383175583740755,0.0,0.0,-0.6195541405679983
102002,2,2408,0.024801506380465875,0.0,0.0,-0.4822402723279884
102002,2,4528,0.025346147289194838,0.0,0.0,-0.3983237994389772
102002,2,4147,0.026573363427795794,0.0,0.0,-0.40032680219604744
102002,3,3045,0.0059476541075453,0.0,0.0,-0.0783410775801584
102002,3,5434,0.01329871351240699,0.0,0.0,-0.31272727872896333
102002,3,6121,0.01677923097801124,0.0,0.0,-0.278317172272078
102002,3,6239,0.01945373520403486,0.0,0.0,-0.3406698441965883
102002,3,4551,0.02060556271454833,0.0,0.0,-0.5223403952376462
102002,3,3587,0.022840413971250816,0.0,0.0,-0.4397590291401213
102002,3,2444,0.02538648274607135,0.0,0.0,-0.3291139240506329
102002,3,5457,0.027625334250767186,0.0,0.0,-0.4715115906013264
102003,1,8222,0.02353260950332627,0.0,0.0,0.05310745582650589
102003,1,2427,0.026844571499537433,0.0,0.0,-0.2762281301572981
102003,1,2376,0.027596682276814576,0.0,0.0,-0.4248286201150021
102003,1,8086,0.027665600636021696,0.0,0.0,-0.5096593021913121
102003,1,3293,0.028178830800339717,0.0,0.0,0.4723618001148582
102003,1,4746,0.028744144342761766,0.0,0.0,-0.47446399537333817
102003,1,8299,0.03222073418062753,0.0,0.0,-0.2724753394107786
102003,1,4763,0.03287873653011012,0.0,0.0,-0.07843737312649524
102003,2,2633,0.010279627426030339,0.0,0.0,0.3117317486268414
102003,2,1102,0.015781683373334104,0.0,0.0,-0.04233432509366586
102003,2,1710,0.020258153721785695,0.0,0.0,-0.1406491272181668
102003,2,2408,0.024037170601014457,0.0,0.0,-0.40123453816177035
102003,2,4528,0.02404599753459216,0.0,0.0,-0.41459948640869326
102003,2,8489,0.024222821363186094,0.0,0.0,-0.2539805994021461
102003,2,4147,0.026035629801250963,0.0,0.0,-0.3777778062668763
102003,2,5274,0.026746730370442732,0.0,0.0,-0.48029551893193567
102003,3,3045,0.0059476541075453,0.0,0.0,-0.0783410775801584
102003,3,5434,0.01329871351240699,0.0,0.0,-0.31272727872896333
102003,3,6121,0.01677923097801124,0.0,0.0,-0.278317172272078
102003,3,6239,0.01945373520403486,0.0,0.0,-0.3406698441965883
102003,3,4551,0.02060556271454833,0.0,0.0,-0.5223403952376462
102003,3,3587,0.022840413971250816,0.0,0.0,-0.4397590291401213
102003,3,2444,0.02538648274607135,0.0,0.0,-0.3291139240506329
102003,3,5457,0.027625334250767186,0.0,0.0,-0.4715115906013264
102004,1,2912,0.007066831879868646,0.0,0.0,-0.08480827015007875
102004,1,2884,0.010056057339144341,0.0,0.0,-0.08394868428664948
102004,1,2409,0.018135784357655123,0.0,0.0,-0.418428559039705
102004,1,2515,0.01907414066965365,0.0,0.0,-0.4251979774135425
102004,1,2206,0.019138731048718955,0.0,0.0,-0.1703650760862374
102004,1,1314,0.019707541216893935,0.0,0.0,-0.44566207512393197
102004,1,8155,0.020528654502698043,0.0,0.0,-0.29859576869710613
102004,1,6274,0.02544697347465147,0.0,0.0,-0.30357139084640605
102004,2,4904,0.007275701072163305,0.0,0.0,0.006366477356503308
102004,2,1303,0.007302441754366092,0.0,0.0,-0.013017587260911068
102004,2,1504,0.007703488847189511,0.0,0.0,-0.37601397162229655
102004,2,1101,0.010068998879103726,0.0,0.0,0.007074592567642091
102004,2,4958,0.016162959252736836,0.0,0.0,0.060628310858637624
102004,2,2392,0.017751237196250078,0.0,0.0,-0.5412212636891015
102004,2,5289,0.025369799927646333,0.0,0.0,-0.10157267855756869
102004,2,6202,0.027857397692818434,0.0,0.0,-0.13913775823674002
102004,3,3045,0.006073272096487073,0.0,0.0,-0.0783410775801584
102004,3,5434,0.013679655310630144,0.0,0.0,-0.3368421042770564
102004,3,6121,0.01685095643794744,0.0,0.0,-0.3293233191571615
102004,3,4551,0.020324584589246623,0.0,0.0,-0.5248677256974699
