date,stocks_traded,all_traded,collapse
2017-08-14,1622,1730,False
2017-08-15,1618,1728,False
2017-08-16,1620,1731,False
2017-08-17,1614,1727,False
2017-08-18,1610,1721,False
2017-08-21,1619,1729,False
2017-08-22,1609,1727,False
2017-08-23,1616,1727,False
2017-08-24,1613,1722,False
2017-08-25,1615,1728,False
2017-08-28,1613,1731,False
2017-08-29,1608,1721,False
2017-08-30,1615,1726,False
2017-08-31,1605,1716,False
2017-09-01,1618,1736,False
2017-09-04,1609,1724,False
2017-09-05,1623,1738,False
2017-09-06,1614,1732,False
2017-09-07,1616,1733,False
2017-09-08,1623,1739,False
2017-09-11,1619,1736,False
2017-09-12,1619,1734,False
2017-09-13,1621,1737,False
2017-09-14,1613,1722,False
2017-09-15,1612,1730,False
2017-09-18,1616,1734,False
2017-09-19,1617,1736,False
2017-09-20,1615,1731,False
2017-09-21,1610,1728,False
2017-09-22,1610,1726,False
2017-09-25,1609,1725,False
2017-09-26,1606,1720,False
2017-09-27,1613,1731,False
2017-09-28,1617,1736,False
2017-09-29,1602,1717,False
2017-09-30,1606,1712,False
2017-10-02,1617,1731,False
2017-10-03,1619,1733,False
2017-10-05,1610,1721,False
2017-10-06,1614,1731,False
2017-10-11,1618,1736,False
2017-10-12,1618,1735,False
2017-10-13,1613,1729,False
2017-10-16,1621,1738,False
2017-10-17,1625,1743,False
2017-10-18,1613,1727,False
2017-10-19,1606,1724,False
2017-10-20,1609,1725,False
2017-10-23,1612,1728,False
2017-10-24,1619,1738,False
2017-10-25,1620,1735,False
2017-10-26,1619,1736,False
2017-10-27,1617,1740,False
2017-10-30,1613,1735,False
2017-10-31,1623,1743,False
2017-11-01,1619,1733,False
2017-11-02,1619,1738,False
2017-11-03,1622,1741,False
2017-11-06,1619,1737,False
2017-11-07,1616,1732,False
2017-11-08,1622,1738,False
2017-11-09,1621,1738,False
2017-11-10,1612,1732,False
2017-11-13,1622,1741,False
2017-11-14,1624,1743,False
2017-11-15,1626,1745,False
2017-11-16,1616,1738,False
2017-11-17,1623,1746,False
2017-11-20,1623,1739,False
2017-11-21,1623,1744,False
2017-11-22,1628,1747,False
2017-11-23,1621,1743,False
2017-11-24,1616,1732,False
2017-11-27,1632,1752,False
2017-11-28,1628,1748,False
2017-11-29,1627,1743,False
2017-11-30,1629,1752,False
2017-12-01,1628,1752,False
2017-12-04,1624,1747,False
2017-12-05,1622,1746,False
2017-12-06,1626,1753,False
2017-12-07,1619,1742,False
2017-12-08,1621,1746,False
2017-12-11,1625,1747,False
2017-12-12,1626,1748,False
2017-12-13,1623,1744,False
2017-12-14,1623,1747,False
2017-12-15,1615,1740,False
2017-12-18,1620,1745,False
2017-12-19,1613,1740,False
2017-12-20,1630,1752,False
2017-12-21,1623,1749,False
2017-12-22,1620,1749,False
2017-12-25,1625,1749,False
2017-12-26,1628,1748,False
2017-12-27,1619,1747,False
2017-12-28,1633,1757,False
2017-12-29,1634,1761,False
2018-01-02,1625,1747,False
2018-01-03,1633,1763,False
2018-01-04,1635,1761,False
2018-01-05,1635,1758,False
2018-01-08,1637,1761,False
2018-01-09,1638,1766,False
2018-01-10,1642,1768,False
2018-01-11,1634,1760,False
2018-01-12,1636,1760,False
2018-01-15,1634,1761,False
2018-01-16,1639,1766,False
2018-01-17,1643,1774,False
2018-01-18,1641,1773,False
2018-01-19,1641,1766,False
2018-01-22,1635,1761,False
2018-01-23,1647,1772,False
2018-01-24,1648,1773,False
2018-01-25,1640,1766,False
2018-01-26,1635,1759,False
2018-01-29,1650,1775,False
2018-01-30,1642,1767,False
2018-01-31,1634,1761,False
2018-02-01,1636,1766,False
2018-02-02,1640,1773,False
2018-02-05,1642,1771,False
2018-02-06,1650,1785,False
2018-02-07,1646,1781,False
2018-02-08,1629,1762,False
2018-02-09,1639,1772,False
2018-02-12,1647,1782,False
2018-02-21,1647,1785,False
2018-02-22,1639,1770,False
2018-02-23,1653,1787,False
2018-02-26,1647,1785,False
2018-02-27,1652,1789,False
2018-03-01,1644,1779,False
2018-03-02,1639,1776,False
2018-03-05,1640,1775,False
2018-03-06,1645,1780,False
2018-03-07,1645,1782,False
2018-03-08,1644,1775,False
2018-03-09,1647,1777,False
2018-03-12,1648,1785,False
2018-03-13,1649,1784,False
2018-03-14,1643,1777,False
2018-03-15,1647,1783,False
2018-03-16,1643,1774,False
2018-03-19,1647,1781,False
2018-03-20,1639,1778,False
2018-03-21,1652,1782,False
2018-03-22,1653,1788,False
2018-03-23,1654,1787,False
2018-03-26,1644,1778,False
2018-03-27,1655,1788,False
2018-03-28,1647,1782,False
2018-03-29,1649,1780,False
2018-03-30,1653,1784,False
2018-03-31,1645,1772,False
2018-04-02,1660,1793,False
2018-04-03,1657,1790,False
2018-04-09,1652,1786,False
2018-04-10,1660,1793,False
2018-04-11,1653,1788,False
2018-04-12,1650,1783,False
2018-04-13,1651,1785,False
2018-04-16,1660,1793,False
2018-04-17,1659,1794,False
2018-04-18,1651,1788,False
2018-04-19,1650,1785,False
2018-04-20,1651,1786,False
2018-04-23,1643,1783,False
2018-04-24,1648,1787,False
2018-04-25,1652,1790,False
2018-04-26,1659,1800,False
2018-04-27,1649,1791,False
2018-04-30,1659,1795,False
2018-05-02,1650,1789,False
2018-05-03,1652,1793,False
2018-05-04,1646,1785,False
2018-05-07,1656,1796,False
2018-05-08,1646,1787,False
2018-05-09,1652,1794,False
2018-05-10,1658,1802,False
2018-05-11,1658,1802,False
2018-05-14,1658,1800,False
2018-05-15,1653,1796,False
2018-05-16,1655,1799,False
2018-05-17,1657,1802,False
2018-05-18,1647,1788,False
2018-05-21,1659,1803,False
2018-05-22,1645,1788,False
2018-05-23,1657,1797,False
2018-05-24,1658,1802,False
2018-05-25,1650,1787,False
2018-05-28,1660,1804,False
2018-05-29,1651,1797,False
2018-05-30,1652,1794,False
2018-05-31,1654,1798,False
2018-06-01,1655,1802,False
2018-06-04,1657,1803,False
2018-06-05,1658,1805,False
2018-06-06,1658,1800,False
2018-06-07,1652,1797,False
2018-06-08,1653,1796,False
2018-06-11,1656,1804,False
2018-06-12,1659,1804,False
2018-06-13,1655,1807,False
2018-06-14,1650,1799,False
2018-06-15,1645,1794,False
2018-06-19,1654,1803,False
2018-06-20,1656,1806,False
2018-06-21,1645,1798,False
2018-06-22,1649,1800,False
2018-06-25,1656,1804,False
2018-06-26,1657,1809,False
2018-06-27,1649,1802,False
2018-06-28,1659,1813,False
2018-06-29,1648,1806,False
2018-07-02,1638,1793,False
2018-07-03,1645,1800,False
2018-07-04,1648,1795,False
2018-07-05,1643,1796,False
2018-07-06,1656,1809,False
2018-07-09,1651,1804,False
2018-07-10,1645,1794,False
2018-07-11,1635,1786,False
2018-07-12,1641,1795,False
2018-07-13,1652,1807,False
2018-07-16,1654,1809,False
2018-07-17,1644,1800,False
2018-07-18,1655,1809,False
2018-07-19,1643,1796,False
2018-07-20,1655,1806,False
2018-07-23,1638,1789,False
2018-07-24,1654,1803,False
2018-07-25,1651,1802,False
2018-07-26,1646,1801,False
2018-07-27,1657,1810,False
2018-07-30,1643,1792,False
2018-07-31,1641,1789,False
2018-08-01,1657,1808,False
2018-08-02,1652,1802,False
2018-08-03,1654,1807,False
2018-08-06,1649,1802,False
2018-08-07,1650,1802,False
2018-08-08,1649,1798,False
2018-08-09,1646,1800,False
2018-08-10,1659,1811,False
2018-08-13,1655,1810,False
2018-08-14,1660,1813,False
2018-08-15,1647,1804,False
2018-08-16,1646,1802,False
2018-08-17,1659,1811,False
2018-08-20,1653,1805,False
2018-08-21,1652,1807,False
2018-08-22,1649,1803,False
2018-08-23,1648,1802,False
2018-08-24,1646,1801,False
2018-08-27,1647,1799,False
2018-08-28,1649,1807,False
2018-08-29,1654,1809,False
2018-08-30,1638,1796,False
2018-08-31,1635,1791,False
2018-09-03,1648,1799,False
2018-09-04,1650,1804,False
2018-09-05,1649,1802,False
2018-09-06,1641,1793,False
2018-09-07,1658,1813,False
2018-09-10,1656,1811,False
2018-09-11,1652,1808,False
2018-09-12,1651,1804,False
2018-09-13,1647,1803,False
2018-09-14,1649,1807,False
