stock_id,roc_year,month,high,low,avg_price,transactions,amount,volume,turnover,asof,days,n_markets,avg_close_ours,avg_close_trunc_ours,high_ours,high_date_ours,low_ours,low_date_ours,volume_ours,amount_ours,tx_ours,avg_price_ours,status,high_ok,low_ok,avg_price_ok,volume_ok,amount_ok,transactions_ok,qty_note
1213,115,5,9.09,8.0,8.45,354,3945727,466512,0.82,20260909,20,1,8.59,8.59,9.09,2026-05-05,8.0,2026-05-27,466512.0,3945727.0,354.0,8.45,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1213,115,6,9.44,7.5,8.06,288,3336221,413633,0.73,20260909,19,1,8.25,8.25,9.44,2026-06-16,7.5,2026-06-30,413336.0,3333810.0,285.0,8.06,比對,1.0,1.0,1.0,0.0,0.0,0.0,差額含零股（①②）
1213,115,7,8.02,7.02,7.48,291,2967876,396640,0.7,20260909,17,1,7.51,7.51,8.02,2026-07-01,7.02,2026-07-24,396637.0,2967855.0,289.0,7.48,比對,1.0,1.0,1.0,0.0,0.0,0.0,差額含零股（①②）
1213,115,8,8.07,7.01,7.54,242,4462847,591444,1.04,20260909,19,1,7.45,7.44,8.07,2026-08-28,7.01,2026-08-24,591318.0,4461925.0,238.0,7.54,比對,1.0,1.0,1.0,0.0,0.0,0.0,差額含零股（①②）
1215,115,1,158.0,131.0,146.39,56162,4068269630,27789783,9.42,20260909,21,1,146.0,146.0,158.0,2026-01-16,131.0,2026-01-05,27789783.0,4068269630.0,56162.0,146.39,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1215,115,2,156.0,145.5,149.55,18623,1356696214,9071575,3.07,20260909,12,1,149.46,149.45,156.0,2026-02-26,145.5,2026-02-23,9071575.0,1356696214.0,18623.0,149.55,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1215,115,3,163.5,135.0,150.13,43671,3199350861,21309250,7.22,20260909,22,1,151.14,151.13,163.5,2026-03-06,135.0,2026-03-31,21309250.0,3199350861.0,43671.0,150.13,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1215,115,4,146.5,133.5,141.15,28037,3288585207,23297141,7.9,20260909,20,1,141.3,141.3,146.5,2026-04-14,133.5,2026-04-01,23297141.0,3288585207.0,28037.0,141.15,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1215,115,5,146.0,123.5,135.98,55277,5943861709,43711087,14.82,20260909,20,1,137.68,137.67,146.0,2026-05-21,123.5,2026-05-29,43711087.0,5943861709.0,55277.0,135.98,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1215,115,6,125.0,112.5,116.37,60319,6378507195,54809817,18.59,20260909,21,1,116.1,116.09,125.0,2026-06-01,112.5,2026-06-03,54809817.0,6378507195.0,60319.0,116.37,比對,1.0,1.0,1.0,1.0,1.0,1.0,
